provincia,anio,variables_esperadas,variables_presentes,variables_con_dato,variables_sin_dato,cobertura_pct
"Balears, Illes",2016,6,6,6,0,100.0
"Balears, Illes",2017,6,6,6,0,100.0
"Balears, Illes",2018,6,6,6,0,100.0
"Balears, Illes",2019,6,6,6,0,100.0
"Balears, Illes",2020,6,6,6,0,100.0
"Balears, Illes",2021,6,6,6,0,100.0
"Balears, Illes",2022,6,6,6,0,100.0
"Balears, Illes",2023,6,6,6,0,100.0
Barcelona,2015,6,6,6,0,100.0
Barcelona,2016,6,6,6,0,100.0
Barcelona,2017,6,6,6,0,100.0
Barcelona,2018,6,6,6,0,100.0
Barcelona,2019,6,6,6,0,100.0
Barcelona,2020,6,6,6,0,100.0
Barcelona,2021,6,6,6,0,100.0
Barcelona,2022,6,6,6,0,100.0
Barcelona,2023,6,6,6,0,100.0
Bizkaia,2015,6,6,6,0,100.0
Bizkaia,2016,6,6,6,0,100.0
Bizkaia,2017,6,6,6,0,100.0
Bizkaia,2018,6,6,6,0,100.0
Bizkaia,2019,6,6,6,0,100.0
Bizkaia,2020,6,6,6,0,100.0
Bizkaia,2021,6,6,6,0,100.0
Bizkaia,2022,6,6,6,0,100.0
Bizkaia,2023,6,6,6,0,100.0
Burgos,2015,6,6,6,0,100.0
Burgos,2016,6,6,6,0,100.0
Burgos,2017,6,6,6,0,100.0
Burgos,2018,6,6,6,0,100.0
Burgos,2019,6,6,6,0,100.0
Burgos,2020,6,6,6,0,100.0
Burgos,2021,6,6,6,0,100.0
Burgos,2022,6,6,6,0,100.0
Burgos,2023,6,6,6,0,100.0
Cantabria,2015,6,6,6,0,100.0
Cantabria,2016,6,6,6,0,100.0
Cantabria,2017,6,6,6,0,100.0
Cantabria,2018,6,6,6,0,100.0
Cantabria,2019,6,6,6,0,100.0
Cantabria,2020,6,6,6,0,100.0
Cantabria,2021,6,6,6,0,100.0
Cantabria,2022,6,6,6,0,100.0
Cantabria,2023,6,6,6,0,100.0
Castellón/Castelló,2015,6,6,6,0,100.0
Castellón/Castelló,2016,6,6,6,0,100.0
Castellón/Castelló,2017,6,6,6,0,100.0
Castellón/Castelló,2018,6,6,6,0,100.0
Castellón/Castelló,2019,6,6,6,0,100.0
Castellón/Castelló,2020,6,6,6,0,100.0
Castellón/Castelló,2021,6,6,6,0,100.0
Castellón/Castelló,2022,6,6,6,0,100.0
Castellón/Castelló,2023,6,6,6,0,100.0
Ceuta,2015,6,6,6,0,100.0
Ceuta,2016,6,6,6,0,100.0
Ceuta,2017,6,6,6,0,100.0
Ceuta,2018,6,6,6,0,100.0
Ceuta,2019,6,6,6,0,100.0
Ceuta,2020,6,6,6,0,100.0
Ceuta,2021,6,6,6,0,100.0
Ceuta,2022,6,6,6,0,100.0
Ceuta,2023,6,6,6,0,100.0
Ciudad Real,2015,6,6,6,0,100.0
Ciudad Real,2016,6,6,6,0,100.0
Ciudad Real,2017,6,6,6,0,100.0
Ciudad Real,2018,6,6,6,0,100.0
Ciudad Real,2019,6,6,6,0,100.0
Ciudad Real,2020,6,6,6,0,100.0
Ciudad Real,2021,6,6,6,0,100.0
Ciudad Real,2022,6,6,6,0,100.0
Ciudad Real,2023,6,6,6,0,100.0
"Coruña, A",2015,6,6,6,0,100.0
"Coruña, A",2016,6,6,6,0,100.0
"Coruña, A",2017,6,6,6,0,100.0
"Coruña, A",2018,6,6,6,0,100.0
"Coruña, A",2019,6,6,6,0,100.0
"Coruña, A",2020,6,6,6,0,100.0
"Coruña, A",2021,6,6,6,0,100.0
"Coruña, A",2022,6,6,6,0,100.0
"Coruña, A",2023,6,6,6,0,100.0
Cuenca,2015,6,6,6,0,100.0
Cuenca,2016,6,6,6,0,100.0
Cuenca,2017,6,6,6,0,100.0
