provincia,anio,variable,valor
Badajoz,2015,renta_neta_media_por_hogar_eur,21824
Badajoz,2015,renta_neta_media_por_persona_eur,8448
Badajoz,2016,renta_bruta_media_por_hogar_eur,25560
Badajoz,2016,renta_bruta_media_por_persona_eur,9942
Badajoz,2016,renta_media_por_unidad_consumo_eur,13001
Badajoz,2016,renta_mediana_por_unidad_consumo_eur,10850
Badajoz,2016,renta_neta_media_por_hogar_eur,22222
Badajoz,2016,renta_neta_media_por_persona_eur,8643
Badajoz,2017,renta_bruta_media_por_hogar_eur,26345
Badajoz,2017,renta_bruta_media_por_persona_eur,10333
Badajoz,2017,renta_media_por_unidad_consumo_eur,13471
Badajoz,2017,renta_mediana_por_unidad_consumo_eur,11550
Badajoz,2017,renta_neta_media_por_hogar_eur,22872
Badajoz,2017,renta_neta_media_por_persona_eur,8971
Badajoz,2018,renta_bruta_media_por_hogar_eur,27417
Badajoz,2018,renta_bruta_media_por_persona_eur,10857
Badajoz,2018,renta_media_por_unidad_consumo_eur,14104
Badajoz,2018,renta_mediana_por_unidad_consumo_eur,12250
Badajoz,2018,renta_neta_media_por_hogar_eur,23780
Badajoz,2018,renta_neta_media_por_persona_eur,9417
Badajoz,2019,renta_bruta_media_por_hogar_eur,28670
Badajoz,2019,renta_bruta_media_por_persona_eur,11430
Badajoz,2019,renta_media_por_unidad_consumo_eur,14781
Badajoz,2019,renta_mediana_por_unidad_consumo_eur,12950
Badajoz,2019,renta_neta_media_por_hogar_eur,24819
Badajoz,2019,renta_neta_media_por_persona_eur,9895
Badajoz,2020,renta_bruta_media_por_hogar_eur,28819
Badajoz,2020,renta_bruta_media_por_persona_eur,11573
Badajoz,2020,renta_media_por_unidad_consumo_eur,14905
Badajoz,2020,renta_mediana_por_unidad_consumo_eur,12950
Badajoz,2020,renta_neta_media_por_hogar_eur,24905
Badajoz,2020,renta_neta_media_por_persona_eur,10001
Badajoz,2021,renta_bruta_media_por_hogar_eur,30326
Badajoz,2021,renta_bruta_media_por_persona_eur,12280
Badajoz,2021,renta_media_por_unidad_consumo_eur,15689
Badajoz,2021,renta_mediana_por_unidad_consumo_eur,13650
Badajoz,2021,renta_neta_media_por_hogar_eur,26050
Badajoz,2021,renta_neta_media_por_persona_eur,10549
Badajoz,2022,renta_bruta_media_por_hogar_eur,31945
Badajoz,2022,renta_bruta_media_por_persona_eur,13084
Badajoz,2022,renta_media_por_unidad_consumo_eur,16529
Badajoz,2022,renta_mediana_por_unidad_consumo_eur,14350
Badajoz,2022,renta_neta_media_por_hogar_eur,27243
