comunidad_autonoma,provincia,indicador,anio,valor,variable,unidad
"Asturias, Principado de",Asturias,Porcentaje de población menor de 18 años,2018,13.2,pct_menor_18,porcentaje
"Asturias, Principado de",Asturias,Porcentaje de población española,2018,95.9,pct_poblacion_espanola,porcentaje
"Asturias, Principado de",Asturias,Tamaño medio del hogar,2018,2.3,tamano_medio_hogar,personas_por_hogar
"Asturias, Principado de",Asturias,Edad media de la población,2019,48.0,edad_media,años
"Asturias, Principado de",Asturias,Porcentaje de población de 65 y más años,2019,26.0,pct_65_mas,porcentaje
"Asturias, Principado de",Asturias,Porcentaje de hogares unipersonales,2019,32.7,pct_hogares_unipersonales,porcentaje
"Asturias, Principado de",Asturias,Porcentaje de población menor de 18 años,2019,13.1,pct_menor_18,porcentaje
"Asturias, Principado de",Asturias,Porcentaje de población española,2019,95.6,pct_poblacion_espanola,porcentaje
"Asturias, Principado de",Asturias,Tamaño medio del hogar,2019,2.3,tamano_medio_hogar,personas_por_hogar
"Asturias, Principado de",Asturias,Edad media de la población,2020,48.3,edad_media,años
"Asturias, Principado de",Asturias,Porcentaje de población de 65 y más años,2020,26.4,pct_65_mas,porcentaje
"Asturias, Principado de",Asturias,Porcentaje de hogares unipersonales,2020,33.1,pct_hogares_unipersonales,porcentaje
"Asturias, Principado de",Asturias,Porcentaje de población menor de 18 años,2020,13.0,pct_menor_18,porcentaje
"Asturias, Principado de",Asturias,Porcentaje de población española,2020,95.5,pct_poblacion_espanola,porcentaje
"Asturias, Principado de",Asturias,Tamaño medio del hogar,2020,2.3,tamano_medio_hogar,personas_por_hogar
"Asturias, Principado de",Asturias,Edad media de la población,2021,48.6,edad_media,años
"Asturias, Principado de",Asturias,Porcentaje de población de 65 y más años,2021,27.0,pct_65_mas,porcentaje
