comunidad_autonoma,provincia,indicador,anio,valor,variable,unidad
País Vasco,Araba/Álava,Tamaño medio del hogar,2017,2.4,tamano_medio_hogar,personas_por_hogar
País Vasco,Araba/Álava,Edad media de la población,2018,43.6,edad_media,años
País Vasco,Araba/Álava,Porcentaje de población de 65 y más años,2018,20.4,pct_65_mas,porcentaje
País Vasco,Araba/Álava,Porcentaje de hogares unipersonales,2018,31.0,pct_hogares_unipersonales,porcentaje
País Vasco,Araba/Álava,Porcentaje de población menor de 18 años,2018,17.7,pct_menor_18,porcentaje
País Vasco,Araba/Álava,Porcentaje de población española,2018,90.9,pct_poblacion_espanola,porcentaje
País Vasco,Araba/Álava,Población,2018,327.92,poblacion,personas
País Vasco,Araba/Álava,Tamaño medio del hogar,2018,2.4,tamano_medio_hogar,personas_por_hogar
País Vasco,Araba/Álava,Edad media de la población,2019,43.8,edad_media,años
País Vasco,Araba/Álava,Porcentaje de población de 65 y más años,2019,20.7,pct_65_mas,porcentaje
País Vasco,Araba/Álava,Porcentaje de hogares unipersonales,2019,31.1,pct_hogares_unipersonales,porcentaje
País Vasco,Araba/Álava,Porcentaje de población menor de 18 años,2019,17.6,pct_menor_18,porcentaje
País Vasco,Araba/Álava,Porcentaje de población española,2019,90.3,pct_poblacion_espanola,porcentaje
País Vasco,Araba/Álava,Población,2019,330.065,poblacion,personas
País Vasco,Araba/Álava,Tamaño medio del hogar,2019,2.4,tamano_medio_hogar,personas_por_hogar
País Vasco,Araba/Álava,Edad media de la población,2020,44.1,edad_media,años
País Vasco,Araba/Álava,Porcentaje de población de 65 y más años,2020,21.1,pct_65_mas,porcentaje
País Vasco,Araba/Álava,Porcentaje de hogares unipersonales,2020,31.3,pct_hogares_unipersonales,porcentaje
País Vasco,Araba/Álava,Porcentaje de población menor de 18 años,2020,17.4,pct_menor_18,porcentaje
País Vasco,Araba/Álava,Porcentaje de población española,2020,90.3,pct_poblacion_espanola,porcentaje
País Vasco,Araba/Álava,Población,2020,330.646,poblacion,personas
País Vasco,Araba/Álava,Tamaño medio del hogar,2020,2.4,tamano_medio_hogar,personas_por_hogar
País Vasco,Araba/Álava,Edad media de la población,2021,44.4,edad_media,años
País Vasco,Araba/Álava,Porcentaje de población de 65 y más años,2021,21.5,pct_65_mas,porcentaje
País Vasco,Araba/Álava,Porcentaje de hogares unipersonales,2021,31.9,pct_hogares_unipersonales,porcentaje
País Vasco,Araba/Álava,Porcentaje de población menor de 18 años,2021,17.2,pct_menor_18,porcentaje
País Vasco,Araba/Álava,Porcentaje de población española,2021,90.1,pct_poblacion_espanola,porcentaje
País Vasco,Araba/Álava,Población,2021,330.117,poblacion,personas
País Vasco,Araba/Álava,Tamaño medio del hogar,2021,2.4,tamano_medio_hogar,personas_por_hogar
País Vasco,Araba/Álava,Edad media de la población,2022,44.6,edad_media,años
País Vasco,Araba/Álava,Porcentaje de población de 65 y más años,2022,21.8,pct_65_mas,porcentaje
País Vasco,Araba/Álava,Porcentaje de hogares unipersonales,2022,32.1,pct_hogares_unipersonales,porcentaje
País Vasco,Araba/Álava,Porcentaje de población menor de 18 años,2022,17.0,pct_menor_18,porcentaje
País Vasco,Araba/Álava,Porcentaje de población española,2022,89.8,pct_poblacion_espanola,porcentaje
País Vasco,Araba/Álava,Población,2022,332.282,poblacion,personas
País Vasco,Araba/Álava,Tamaño medio del hogar,2022,2.4,tamano_medio_hogar,personas_por_hogar
País Vasco,Araba/Álava,Edad media de la población,2023,44.8,edad_media,años
País Vasco,Araba/Álava,Porcentaje de población de 65 y más años,2023,22.2,pct_65_mas,porcentaje
País Vasco,Araba/Álava,Porcentaje de hogares unipersonales,2023,32.4,pct_hogares_unipersonales,porcentaje
País Vasco,Araba/Álava,Porcentaje de población menor de 18 años,2023,16.8,pct_menor_18,porcentaje
País Vasco,Araba/Álava,Porcentaje de población española,2023,89.3,pct_poblacion_espanola,porcentaje
País Vasco,Araba/Álava,Población,2023,334.363,poblacion,personas
País Vasco,Araba/Álava,Tamaño medio del hogar,2023,2.4,tamano_medio_hogar,personas_por_hogar
"Asturias, Principado de",Asturias,Edad media de la población,2015,46.9,edad_media,años
"Asturias, Principado de",Asturias,Porcentaje de población de 65 y más años,2015,24.3,pct_65_mas,porcentaje
"Asturias, Principado de",Asturias,Porcentaje de hogares unipersonales,2015,31.3,pct_hogares_unipersonales,porcentaje
"Asturias, Principado de",Asturias,Porcentaje de población menor de 18 años,2015,13.1,pct_menor_18,porcentaje
"Asturias, Principado de",Asturias,Porcentaje de población española,2015,96.1,pct_poblacion_espanola,porcentaje
"Asturias, Principado de",Asturias,Tamaño medio del hogar,2015,2.3,tamano_medio_hogar,personas_por_hogar
"Asturias, Principado de",Asturias,Edad media de la población,2016,47.2,edad_media,años
"Asturias, Principado de",Asturias,Porcentaje de población de 65 y más años,2016,24.7,pct_65_mas,porcentaje
"Asturias, Principado de",Asturias,Porcentaje de hogares unipersonales,2016,31.7,pct_hogares_unipersonales,porcentaje
