codigo_provincia,provincia,sexo,anio,edad_original,edad,poblacion
02,Albacete,Mujeres,2016,25 años,25,2290
02,Albacete,Mujeres,2016,26 años,26,2264
02,Albacete,Mujeres,2016,27 años,27,2185
02,Albacete,Mujeres,2016,28 años,28,2343
02,Albacete,Mujeres,2016,29 años,29,2344
02,Albacete,Mujeres,2016,3 años,3,1778
02,Albacete,Mujeres,2016,30 años,30,2286
02,Albacete,Mujeres,2016,31 años,31,2410
02,Albacete,Mujeres,2016,32 años,32,2425
02,Albacete,Mujeres,2016,33 años,33,2587
02,Albacete,Mujeres,2016,34 años,34,2676
02,Albacete,Mujeres,2016,35 años,35,2754
02,Albacete,Mujeres,2016,36 años,36,2839
02,Albacete,Mujeres,2016,37 años,37,2973
02,Albacete,Mujeres,2016,38 años,38,2953
02,Albacete,Mujeres,2016,39 años,39,3112
02,Albacete,Mujeres,2016,4 años,4,1809
02,Albacete,Mujeres,2016,40 años,40,3127
02,Albacete,Mujeres,2016,41 años,41,3051
02,Albacete,Mujeres,2016,42 años,42,2951
02,Albacete,Mujeres,2016,43 años,43,2988
02,Albacete,Mujeres,2016,44 años,44,2971
02,Albacete,Mujeres,2016,45 años,45,3097
02,Albacete,Mujeres,2016,46 años,46,3173
02,Albacete,Mujeres,2016,47 años,47,3153
02,Albacete,Mujeres,2016,48 años,48,3070
02,Albacete,Mujeres,2016,49 años,49,3066
02,Albacete,Mujeres,2016,5 años,5,1901
02,Albacete,Mujeres,2016,50 años,50,3087
02,Albacete,Mujeres,2016,51 años,51,3174
02,Albacete,Mujeres,2016,52 años,52,3041
02,Albacete,Mujeres,2016,53 años,53,2918
02,Albacete,Mujeres,2016,54 años,54,2775
02,Albacete,Mujeres,2016,55 años,55,2806
02,Albacete,Mujeres,2016,56 años,56,2675
02,Albacete,Mujeres,2016,57 años,57,2623
02,Albacete,Mujeres,2016,58 años,58,2437
02,Albacete,Mujeres,2016,59 años,59,2109
02,Albacete,Mujeres,2016,6 años,6,2019
02,Albacete,Mujeres,2016,60 años,60,2090
02,Albacete,Mujeres,2016,61 años,61,1999
02,Albacete,Mujeres,2016,62 años,62,2047
02,Albacete,Mujeres,2016,63 años,63,1943
02,Albacete,Mujeres,2016,64 años,64,1776
02,Albacete,Mujeres,2016,65 años,65,1840
02,Albacete,Mujeres,2016,66 años,66,1805
02,Albacete,Mujeres,2016,67 años,67,2044
02,Albacete,Mujeres,2016,68 años,68,1738
02,Albacete,Mujeres,2016,69 años,69,1672
02,Albacete,Mujeres,2016,7 años,7,1980
02,Albacete,Mujeres,2016,70 años,70,1719
02,Albacete,Mujeres,2016,71 años,71,1821
02,Albacete,Mujeres,2016,72 años,72,1690
02,Albacete,Mujeres,2016,73 años,73,1566
02,Albacete,Mujeres,2016,74 años,74,1443
02,Albacete,Mujeres,2016,75 años,75,2104
02,Albacete,Mujeres,2016,76 años,76,1064
02,Albacete,Mujeres,2016,77 años,77,1525
02,Albacete,Mujeres,2016,78 años,78,1607
02,Albacete,Mujeres,2016,79 años,79,1692
02,Albacete,Mujeres,2016,8 años,8,1944
02,Albacete,Mujeres,2016,80 años,80,1604
02,Albacete,Mujeres,2016,81 años,81,1476
02,Albacete,Mujeres,2016,82 años,82,1574
02,Albacete,Mujeres,2016,83 años,83,1406
02,Albacete,Mujeres,2016,84 años,84,1361
02,Albacete,Mujeres,2016,85 años,85,1389
02,Albacete,Mujeres,2016,85 y más años,85,7964
02,Albacete,Mujeres,2016,86 años,86,1216
02,Albacete,Mujeres,2016,87 años,87,1019
02,Albacete,Mujeres,2016,88 años,88,879
02,Albacete,Mujeres,2016,89 años,89,773
