codigo_ccaa,comunidad_autonoma,codigo_provincia,provincia,anio,poblacion_hombres,poblacion_mujeres,poblacion_total,pct_mujeres,razon_masculinidad
07,Castilla y León,34,Palencia,2025,78800,79902,158702,50.34719159178838,98.62081049285375
05,Canarias,35,"Palmas, Las",2021,563160,568199,1131359,50.222696774410245,99.11316281795638
05,Canarias,35,"Palmas, Las",2022,563763,569970,1133733,50.273741701088355,98.91099531554292
05,Canarias,35,"Palmas, Las",2023,569470,576373,1145843,50.301219276986465,98.80233806927112
05,Canarias,35,"Palmas, Las",2024,576064,583826,1159890,50.33460069489348,98.67049429110727
05,Canarias,35,"Palmas, Las",2025,581743,589804,1171547,50.34403229234508,98.63327478280921
12,Galicia,36,Pontevedra,2021,457497,488814,946311,51.65468857489768,93.59326860523635
12,Galicia,36,Pontevedra,2022,456616,488582,945198,51.69096845317066,93.45739302716842
12,Galicia,36,Pontevedra,2023,456938,489772,946710,51.734110762535515,93.29606429113954
12,Galicia,36,Pontevedra,2024,457324,490545,947869,51.752404604433735,93.22773649716132
12,Galicia,36,Pontevedra,2025,457326,490492,947818,51.7495974965658,93.23821795258638
17,"Rioja, La",26,"Rioja, La",2021,157763,161681,319444,50.61325302713465,97.57670969377973
17,"Rioja, La",26,"Rioja, La",2022,157875,161742,319617,50.60494279090286,97.60915532143784
17,"Rioja, La",26,"Rioja, La",2023,159151,163131,322282,50.61747165525844,97.56024299489367
17,"Rioja, La",26,"Rioja, La",2024,159979,164205,324184,50.651790341287665,97.42638774702354
17,"Rioja, La",26,"Rioja, La",2025,161177,165626,326803,50.680685305826444,97.31382753915447
07,Castilla y León,37,Salamanca,2021,159202,168533,327735,51.42355866782614,94.46339885957053
07,Castilla y León,37,Salamanca,2022,158487,167798,326285,51.42682011125243,94.45106616288633
07,Castilla y León,37,Salamanca,2023,158779,168310,327089,51.456942911562294,94.33723486423861
07,Castilla y León,37,Salamanca,2024,158694,168858,327552,51.55150937866354,93.9807412145116
07,Castilla y León,37,Salamanca,2025,159116,169330,328446,51.55489791320339,93.96799149589559
05,Canarias,38,Santa Cruz de Tenerife,2021,514700,532865,1047565,50.867010638957964,96.59106903249416
05,Canarias,38,Santa Cruz de Tenerife,2022,516481,535393,1051874,50.898966986540216,96.46764152687838
05,Canarias,38,Santa Cruz de Tenerife,2023,523253,543920,1067173,50.96830598225405,96.20036034710986
05,Canarias,38,Santa Cruz de Tenerife,2024,528973,549891,1078864,50.9694456391167,96.19597338381607
05,Canarias,38,Santa Cruz de Tenerife,2025,533078,554241,1087319,50.97317346611252,96.18162496098267
07,Castilla y León,40,Segovia,2021,77152,76474,153626,49.779334227279236,100.88657582969375
07,Castilla y León,40,Segovia,2022,77203,76528,153731,49.780460674815096,100.88203010662764
07,Castilla y León,40,Segovia,2023,77867,77465,155332,49.87059974763732,100.51894403924354
07,Castilla y León,40,Segovia,2024,78509,78111,156620,49.87294087600562,100.5095313080104
07,Castilla y León,40,Segovia,2025,79417,78834,158251,49.8157989522973,100.73952862977903
01,Andalucía,41,Sevilla,2021,952623,997433,1950056,51.1489413637352,95.50746766950762
