codigo_provincia,provincia,anio,establecimientos_abiertos_estimados,grado_ocupacion_habitaciones_pct,grado_ocupacion_plazas_fin_semana_pct,grado_ocupacion_plazas_pct,habitaciones_estimadas,personal_empleado,plazas_estimadas
15,"Coruña, A",2015,629.5833333333334,40.163333333333334,39.4975,35.26583333333333,13415.333333333334,2438.25,25178.666666666668
15,"Coruña, A",2016,626.8333333333334,41.255,41.86333333333334,36.5375,13520.416666666666,2535.1666666666665,25220.166666666668
15,"Coruña, A",2017,628.5,43.192499999999995,43.580000000000005,38.083333333333336,13536.416666666666,2537.8333333333335,25283.666666666668
15,"Coruña, A",2018,597.0,43.262499999999996,43.19,37.623333333333335,13287.083333333334,2536.25,24458.583333333332
15,"Coruña, A",2019,574.75,45.94,45.965,39.95083333333333,13224.333333333334,2661.8333333333335,24304.833333333332
15,"Coruña, A",2020,398.0833333333333,22.6875,20.184166666666666,18.456666666666667,9057.416666666666,1472.75,16633.166666666668
15,"Coruña, A",2021,520.4166666666666,36.255,34.73416666666667,30.516666666666666,11569.25,1934.5833333333333,21365.166666666668
15,"Coruña, A",2022,595.25,48.925000000000004,49.73333333333333,42.4325,13009.666666666666,2476.1666666666665,24167.333333333332
15,"Coruña, A",2023,611.3333333333334,49.975833333333334,48.807500000000005,42.65,13521.666666666666,2672.75,25272.333333333332
15,"Coruña, A",2024,608.9166666666666,51.41,50.70916666666667,43.97333333333333,13011.833333333334,2802.5833333333335,24429.166666666668
15,"Coruña, A",2025,574.3333333333334,52.61833333333333,51.50666666666667,44.52916666666667,12918.833333333334,2750.0833333333335,24417.0
16,Cuenca,2015,137.0,26.491666666666664,35.655833333333334,23.76,2684.0833333333335,498.3333333333333,5201.416666666667
16,Cuenca,2016,138.75,30.15833333333333,39.901666666666664,27.0975,2634.4166666666665,478.6666666666667,5122.166666666667
16,Cuenca,2017,136.41666666666666,31.3175,40.516666666666666,27.88083333333333,2572.0,473.75,5033.166666666667
16,Cuenca,2018,149.83333333333334,31.118333333333336,40.064166666666665,27.645833333333332,2722.3333333333335,475.9166666666667,5318.25
16,Cuenca,2019,143.5,32.22166666666667,41.51333333333333,28.6575,2638.8333333333335,457.6666666666667,5184.25
16,Cuenca,2020,98.58333333333333,19.668333333333333,21.308333333333334,16.226666666666667,1823.75,298.0,3572.75
16,Cuenca,2021,120.0,30.525000000000002,30.985833333333332,24.52333333333333,2264.0,393.9166666666667,4463.0
16,Cuenca,2022,136.58333333333334,36.07666666666667,38.54,29.421666666666667,2573.0,506.5833333333333,5102.083333333333
16,Cuenca,2023,137.25,36.00666666666667,37.777499999999996,29.668333333333333,2527.25,531.0,5000.083333333333
16,Cuenca,2024,127.5,36.096666666666664,38.80166666666667,29.543333333333333,2514.8333333333335,517.4166666666666,5013.416666666667
16,Cuenca,2025,133.0,35.659166666666664,39.945,28.76,2519.75,454.0,5068.166666666667
17,Girona,2015,561.1666666666666,49.75416666666667,56.844166666666666,47.56916666666667,26664.416666666668,6286.916666666667,55121.416666666664
17,Girona,2016,576.25,52.91083333333333,58.97333333333333,49.07083333333333,27351.333333333332,6536.166666666667,57540.083333333336
17,Girona,2017,580.0,53.5525,57.7275,48.23083333333333,26100.25,6575.75,56264.5
17,Girona,2018,591.75,53.718333333333334,59.365,49.455000000000005,26173.0,6864.083333333333,56291.333333333336
17,Girona,2019,594.0833333333334,54.682500000000005,60.04833333333334,49.44333333333333,26695.083333333332,6987.166666666667,57685.166666666664
17,Girona,2020,346.9166666666667,28.189166666666665,31.195833333333336,24.675833333333333,12048.916666666666,2835.75,26372.166666666668
17,Girona,2021,450.4166666666667,39.065000000000005,43.92083333333333,34.2325,18109.75,4328.166666666667,39600.083333333336
17,Girona,2022,533.6666666666666,54.30916666666667,59.28,48.70416666666667,24781.833333333332,6573.0,53925.5
17,Girona,2023,562.75,57.54833333333334,61.7575,51.5625,26081.0,7344.083333333333,56944.583333333336
