codigo_provincia,provincia,anio,residencia,variable,valor
07,"Balears, Illes",2025,residentes_espana,pernoctaciones,5129008
07,"Balears, Illes",2025,residentes_espana,viajeros,1472716
07,"Balears, Illes",2025,residentes_extranjero,pernoctaciones,58260002
07,"Balears, Illes",2025,residentes_extranjero,viajeros,10945485
07,"Balears, Illes",2025,total,pernoctaciones,63389010
07,"Balears, Illes",2025,total,viajeros,12418200
08,Barcelona,2015,residentes_espana,pernoctaciones,6114105
08,Barcelona,2015,residentes_espana,viajeros,3059653
08,Barcelona,2015,residentes_extranjero,pernoctaciones,23042843
08,Barcelona,2015,residentes_extranjero,viajeros,7692177
08,Barcelona,2015,total,pernoctaciones,29156950
08,Barcelona,2015,total,viajeros,10751829
08,Barcelona,2016,residentes_espana,pernoctaciones,6643367
08,Barcelona,2016,residentes_espana,viajeros,3387609
08,Barcelona,2016,residentes_extranjero,pernoctaciones,24473974
08,Barcelona,2016,residentes_extranjero,viajeros,8321802
08,Barcelona,2016,total,pernoctaciones,31117341
08,Barcelona,2016,total,viajeros,11709408
08,Barcelona,2017,residentes_espana,pernoctaciones,6761916
08,Barcelona,2017,residentes_espana,viajeros,3371128
08,Barcelona,2017,residentes_extranjero,pernoctaciones,25435181
08,Barcelona,2017,residentes_extranjero,viajeros,8695237
08,Barcelona,2017,total,pernoctaciones,32197097
08,Barcelona,2017,total,viajeros,12066363
08,Barcelona,2018,residentes_espana,pernoctaciones,6119306
08,Barcelona,2018,residentes_espana,viajeros,3217753
08,Barcelona,2018,residentes_extranjero,pernoctaciones,25969787
08,Barcelona,2018,residentes_extranjero,viajeros,9061773
08,Barcelona,2018,total,pernoctaciones,32089093
08,Barcelona,2018,total,viajeros,12279527
08,Barcelona,2019,residentes_espana,pernoctaciones,6056645
08,Barcelona,2019,residentes_espana,viajeros,3161272
08,Barcelona,2019,residentes_extranjero,pernoctaciones,27396307
08,Barcelona,2019,residentes_extranjero,viajeros,9650212
08,Barcelona,2019,total,pernoctaciones,33452948
08,Barcelona,2019,total,viajeros,12811488
08,Barcelona,2020,residentes_espana,pernoctaciones,2375377
08,Barcelona,2020,residentes_espana,viajeros,1283717
