codigo_provincia,provincia,anio,mes,periodo,pernoctaciones_residentes_espana,viajeros_residentes_espana,pernoctaciones_residentes_extranjero,viajeros_residentes_extranjero,pernoctaciones_total,viajeros_total,estancia_media_total,estancia_media_residentes_espana,estancia_media_residentes_extranjero
17,Girona,2021,8,2021M08,1061665,350951,848580,226811,1910245,577762,3.306283556204804,3.0251089183390274,3.7413529326179065
17,Girona,2021,9,2021M09,419560,187260,519045,150921,938605,338181,2.775451607275394,2.2405212004699346,3.4391834138390283
17,Girona,2021,10,2021M10,252824,151193,413248,142025,666071,293218,2.2715897386927133,1.672193818496888,2.9096849146277064
17,Girona,2021,11,2021M11,116200,76945,130166,57529,246367,134474,1.8320790636108095,1.510169601663526,2.262615376592675
17,Girona,2021,12,2021M12,190551,105791,71022,39360,261573,145152,1.8020626653439153,1.8012023707120643,1.804420731707317
17,Girona,2022,1,2022M01,148330,81482,56573,30145,204903,111627,1.8356042892848505,1.820402051986942,1.8766959694808425
17,Girona,2022,2,2022M02,158061,92785,113688,55588,271749,148373,1.8315259514871305,1.7035188877512528,2.045189609268187
17,Girona,2022,3,2022M03,193695,94875,124045,53608,317741,148484,2.139900595350341,2.041581027667984,2.3139270258170423
17,Girona,2022,4,2022M04,341555,172924,483804,156628,825358,329552,2.5044848764383163,1.9751740649071268,3.088872998442169
17,Girona,2022,5,2022M05,294420,148939,685925,230522,980345,379462,2.583512973631088,1.9767824411336186,2.9755294505513574
17,Girona,2022,6,2022M06,525728,255088,860032,254234,1385761,509322,2.720795488904858,2.0609671956344475,3.3828362846826154
17,Girona,2022,7,2022M07,619760,244445,1448306,343860,2068066,588305,3.51529563746696,2.5353760559635092,4.2119060082591755
17,Girona,2022,8,2022M08,826799,273522,1533968,354716,2360768,628238,3.757760593915045,3.0227879293073316,4.324496216691664
17,Girona,2022,9,2022M09,372824,176025,1004850,277909,1377674,453933,3.0349721214364234,2.118017327084221,3.615751918793562
17,Girona,2022,10,2022M10,253035,148190,621275,202899,874310,351089,2.4902802423317163,1.7075038801538565,3.061991434161824
17,Girona,2022,11,2022M11,130250,75232,153317,64016,283568,139248,2.036424221532805,1.73131114419396,2.3949793801549615
17,Girona,2022,12,2022M12,189849,101790,108360,53654,298209,155444,1.9184336481305164,1.8651046271735927,2.019607112237671
17,Girona,2023,1,2023M01,138992,77001,101475,45351,240467,122352,1.965370406695436,1.8050674666562772,2.237547132367533
17,Girona,2023,2,2023M02,145810,84001,144870,61937,290680,145938,1.991804738998753,1.7358126688967987,2.3389896184832977
17,Girona,2023,3,2023M03,190360,100350,225607,87525,415967,187875,2.2140625415834996,1.8969606377678128,2.577629248786061
17,Girona,2023,4,2023M04,385678,192039,651780,222915,1037458,414955,2.5001698979407405,2.0083316409687617,2.9238947580916492
17,Girona,2023,5,2023M05,294462,146828,923204,296780,1217666,443609,2.7449082412665207,2.005489416187648,3.1107352247456026
17,Girona,2023,6,2023M06,485185,239930,1005028,274205,1490213,514135,2.8984858062571113,2.022193973242196,3.6652431574916577
