codigo_ccaa,comunidad_autonoma,codigo_provincia,provincia,sexo,anio,poblacion
01,Andalucía,18,Granada,Mujeres,2024,477226
01,Andalucía,18,Granada,Total,2024,939741
01,Andalucía,18,Granada,Hombres,2025,464948
01,Andalucía,18,Granada,Mujeres,2025,480849
01,Andalucía,18,Granada,Total,2025,945797
08,Castilla - La Mancha,19,Guadalajara,Hombres,2021,134874
08,Castilla - La Mancha,19,Guadalajara,Mujeres,2021,131095
08,Castilla - La Mancha,19,Guadalajara,Total,2021,265969
08,Castilla - La Mancha,19,Guadalajara,Hombres,2022,136128
08,Castilla - La Mancha,19,Guadalajara,Mujeres,2022,132284
08,Castilla - La Mancha,19,Guadalajara,Total,2022,268412
08,Castilla - La Mancha,19,Guadalajara,Hombres,2023,139416
08,Castilla - La Mancha,19,Guadalajara,Mujeres,2023,135666
08,Castilla - La Mancha,19,Guadalajara,Total,2023,275082
08,Castilla - La Mancha,19,Guadalajara,Hombres,2024,142037
08,Castilla - La Mancha,19,Guadalajara,Mujeres,2024,138188
08,Castilla - La Mancha,19,Guadalajara,Total,2024,280225
08,Castilla - La Mancha,19,Guadalajara,Hombres,2025,145284
08,Castilla - La Mancha,19,Guadalajara,Mujeres,2025,140555
08,Castilla - La Mancha,19,Guadalajara,Total,2025,285839
01,Andalucía,21,Huelva,Hombres,2021,261186
01,Andalucía,21,Huelva,Mujeres,2021,266068
01,Andalucía,21,Huelva,Total,2021,527254
01,Andalucía,21,Huelva,Hombres,2022,263398
01,Andalucía,21,Huelva,Mujeres,2022,267696
01,Andalucía,21,Huelva,Total,2022,531094
01,Andalucía,21,Huelva,Hombres,2023,265017
01,Andalucía,21,Huelva,Mujeres,2023,269067
01,Andalucía,21,Huelva,Total,2023,534084
01,Andalucía,21,Huelva,Hombres,2024,265662
01,Andalucía,21,Huelva,Mujeres,2024,270072
01,Andalucía,21,Huelva,Total,2024,535734
01,Andalucía,21,Huelva,Hombres,2025,267376
01,Andalucía,21,Huelva,Mujeres,2025,271413
01,Andalucía,21,Huelva,Total,2025,538789
02,Aragón,22,Huesca,Hombres,2021,113456
02,Aragón,22,Huesca,Mujeres,2021,110539
02,Aragón,22,Huesca,Total,2021,223995
02,Aragón,22,Huesca,Hombres,2022,114288
02,Aragón,22,Huesca,Mujeres,2022,110911
02,Aragón,22,Huesca,Total,2022,225199
02,Aragón,22,Huesca,Hombres,2023,114938
02,Aragón,22,Huesca,Mujeres,2023,111940
02,Aragón,22,Huesca,Total,2023,226878
02,Aragón,22,Huesca,Hombres,2024,115992
02,Aragón,22,Huesca,Mujeres,2024,112527
02,Aragón,22,Huesca,Total,2024,228519
02,Aragón,22,Huesca,Hombres,2025,117167
02,Aragón,22,Huesca,Mujeres,2025,112920
02,Aragón,22,Huesca,Total,2025,230087
01,Andalucía,23,Jaén,Hombres,2021,310930
01,Andalucía,23,Jaén,Mujeres,2021,316638
01,Andalucía,23,Jaén,Total,2021,627568
01,Andalucía,23,Jaén,Hombres,2022,309349
01,Andalucía,23,Jaén,Mujeres,2022,314842
01,Andalucía,23,Jaén,Total,2022,624191
01,Andalucía,23,Jaén,Hombres,2023,307398
01,Andalucía,23,Jaén,Mujeres,2023,313239
01,Andalucía,23,Jaén,Total,2023,620637
01,Andalucía,23,Jaén,Hombres,2024,306472
01,Andalucía,23,Jaén,Mujeres,2024,312583
01,Andalucía,23,Jaén,Total,2024,619055
01,Andalucía,23,Jaén,Hombres,2025,305962
01,Andalucía,23,Jaén,Mujeres,2025,312181
01,Andalucía,23,Jaén,Total,2025,618143
07,Castilla y León,24,León,Hombres,2021,220034
07,Castilla y León,24,León,Mujeres,2021,232401
07,Castilla y León,24,León,Total,2021,452435
07,Castilla y León,24,León,Hombres,2022,218430
07,Castilla y León,24,León,Mujeres,2022,230840
07,Castilla y León,24,León,Total,2022,449270
07,Castilla y León,24,León,Hombres,2023,218038
07,Castilla y León,24,León,Mujeres,2023,230535
07,Castilla y León,24,León,Total,2023,448573
07,Castilla y León,24,León,Hombres,2024,217825
07,Castilla y León,24,León,Mujeres,2024,229977
07,Castilla y León,24,León,Total,2024,447802
07,Castilla y León,24,León,Hombres,2025,218106
07,Castilla y León,24,León,Mujeres,2025,229924
07,Castilla y León,24,León,Total,2025,448030
09,Cataluña,25,Lleida,Hombres,2021,224011
09,Cataluña,25,Lleida,Mujeres,2021,215247
09,Cataluña,25,Lleida,Total,2021,439258
09,Cataluña,25,Lleida,Hombres,2022,225105
09,Cataluña,25,Lleida,Mujeres,2022,215778
09,Cataluña,25,Lleida,Total,2022,440883
09,Cataluña,25,Lleida,Hombres,2023,228557
09,Cataluña,25,Lleida,Mujeres,2023,218786
09,Cataluña,25,Lleida,Total,2023,447343
09,Cataluña,25,Lleida,Hombres,2024,231053
09,Cataluña,25,Lleida,Mujeres,2024,220654
09,Cataluña,25,Lleida,Total,2024,451707
09,Cataluña,25,Lleida,Hombres,2025,235446
09,Cataluña,25,Lleida,Mujeres,2025,222780
09,Cataluña,25,Lleida,Total,2025,458226
12,Galicia,27,Lugo,Hombres,2021,158003
12,Galicia,27,Lugo,Mujeres,2021,168065
12,Galicia,27,Lugo,Total,2021,326068
12,Galicia,27,Lugo,Hombres,2022,157157
12,Galicia,27,Lugo,Mujeres,2022,167083
12,Galicia,27,Lugo,Total,2022,324240
12,Galicia,27,Lugo,Hombres,2023,157332
12,Galicia,27,Lugo,Mujeres,2023,166935
12,Galicia,27,Lugo,Total,2023,324267
12,Galicia,27,Lugo,Hombres,2024,157715
12,Galicia,27,Lugo,Mujeres,2024,167333
12,Galicia,27,Lugo,Total,2024,325048
12,Galicia,27,Lugo,Hombres,2025,158220
12,Galicia,27,Lugo,Mujeres,2025,167802
12,Galicia,27,Lugo,Total,2025,326022
13,"Madrid, Comunidad de",28,Madrid,Hombres,2021,3221401
13,"Madrid, Comunidad de",28,Madrid,Mujeres,2021,3505239
13,"Madrid, Comunidad de",28,Madrid,Total,2021,6726640
13,"Madrid, Comunidad de",28,Madrid,Hombres,2022,3229127
13,"Madrid, Comunidad de",28,Madrid,Mujeres,2022,3514127
13,"Madrid, Comunidad de",28,Madrid,Total,2022,6743254
13,"Madrid, Comunidad de",28,Madrid,Hombres,2023,3288197
13,"Madrid, Comunidad de",28,Madrid,Mujeres,2023,3583706
13,"Madrid, Comunidad de",28,Madrid,Total,2023,6871903
13,"Madrid, Comunidad de",28,Madrid,Hombres,2024,3356163
13,"Madrid, Comunidad de",28,Madrid,Mujeres,2024,3653105
13,"Madrid, Comunidad de",28,Madrid,Total,2024,7009268
13,"Madrid, Comunidad de",28,Madrid,Hombres,2025,3407410
13,"Madrid, Comunidad de",28,Madrid,Mujeres,2025,3706476
13,"Madrid, Comunidad de",28,Madrid,Total,2025,7113886
19,Melilla,52,Melilla,Hombres,2021,43823
19,Melilla,52,Melilla,Mujeres,2021,42627
19,Melilla,52,Melilla,Total,2021,86450
19,Melilla,52,Melilla,Hombres,2022,42978
19,Melilla,52,Melilla,Mujeres,2022,41954
19,Melilla,52,Melilla,Total,2022,84932
19,Melilla,52,Melilla,Hombres,2023,43162
19,Melilla,52,Melilla,Mujeres,2023,42331
19,Melilla,52,Melilla,Total,2023,85493
19,Melilla,52,Melilla,Hombres,2024,43252
19,Melilla,52,Melilla,Mujeres,2024,42733
19,Melilla,52,Melilla,Total,2024,85985
19,Melilla,52,Melilla,Hombres,2025,43770
19,Melilla,52,Melilla,Mujeres,2025,43297
19,Melilla,52,Melilla,Total,2025,87067
14,"Murcia, Región de",30,Murcia,Hombres,2021,760831
14,"Murcia, Región de",30,Murcia,Mujeres,2021,757448
14,"Murcia, Región de",30,Murcia,Total,2021,1518279
14,"Murcia, Región de",30,Murcia,Hombres,2022,767117
14,"Murcia, Región de",30,Murcia,Mujeres,2022,762541
14,"Murcia, Región de",30,Murcia,Total,2022,1529658
14,"Murcia, Región de",30,Murcia,Hombres,2023,777819
14,"Murcia, Región de",30,Murcia,Mujeres,2023,773873
14,"Murcia, Región de",30,Murcia,Total,2023,1551692
14,"Murcia, Región de",30,Murcia,Hombres,2024,786038
14,"Murcia, Región de",30,Murcia,Mujeres,2024,782454
14,"Murcia, Región de",30,Murcia,Total,2024,1568492
14,"Murcia, Región de",30,Murcia,Hombres,2025,794905
14,"Murcia, Región de",30,Murcia,Mujeres,2025,792084
14,"Murcia, Región de",30,Murcia,Total,2025,1586989
01,Andalucía,29,Málaga,Hombres,2021,831211
01,Andalucía,29,Málaga,Mujeres,2021,865744
01,Andalucía,29,Málaga,Total,2021,1696955
01,Andalucía,29,Málaga,Hombres,2022,840038
01,Andalucía,29,Málaga,Mujeres,2022,875071
01,Andalucía,29,Málaga,Total,2022,1715109
01,Andalucía,29,Málaga,Hombres,2023,857246
