codigo_provincia,provincia,anio,poblacion_hombres,poblacion_mujeres,poblacion_total,poblacion_0_17,poblacion_18_34,poblacion_35_64,poblacion_65_mas,suma_poblacion_edades,edad_media_aprox,pct_0_17,pct_18_34,pct_35_64,pct_65_mas,indice_envejecimiento,tasa_dependencia,pct_mujeres,razon_masculinidad,diferencia_total_edades
01,Araba/Álava,2015,158890,162651,321541,55250.0,56821.0,146299.0,72433.0,330803,44.230829224644275,17.18287869976146,17.67146335926056,45.49932978998012,22.52683172596963,131.10045248868778,62.86087042142576,50.5848398804507,97.68768713380182,-9262
01,Araba/Álava,2016,159415,163559,322974,56182.0,54974.0,147326.0,74278.0,332760,44.483456545257845,17.395208283019684,17.021184367781927,45.61543653668716,22.99813607287274,132.20960449966182,64.4883835887296,50.641537708917745,97.46635770578202,-9786
01,Araba/Álava,2017,160464,164786,325250,57115.0,53803.0,148534.0,76104.0,335556,44.709702702380525,17.56033820138355,16.542044581091467,45.66764027671022,23.398616448885473,133.24695789197233,65.84015775661396,50.66441199077632,97.377204374158,-10306
01,Araba/Álava,2018,161464,166299,327763,57789.0,53478.0,149111.0,78182.0,338560,44.922465737240074,17.631337277239957,16.316057639208818,45.49354259022525,23.853211009174313,135.28872276730866,67.11667464669848,50.73757562629095,97.09258624525704,-10797
01,Araba/Álava,2019,162685,167419,330104,57955.0,53446.0,149824.0,80197.0,341422,45.18118340352994,17.556588226740665,16.19065506628214,45.38690836827182,24.29446477473766,138.37805193684756,67.96477591380922,50.71704674890338,97.17236394913361,-11318
01,Araba/Álava,2020,163924,168950,332874,58243.0,53662.0,150607.0,82118.0,344630,45.41243072280417,17.49701088099401,16.12081448235669,45.24444684775621,24.669394425518366,140.99205054684683,68.71380385667918,50.75494030774407,97.02515537141166,-11756
01,Araba/Álava,2021,164299,169186,333485,57921.0,53334.0,150733.0,83385.0,345373,45.66008923685407,17.368397379192466,15.99292321993493,45.19933430289218,25.00412312397859,143.96332936240742,69.24490485967844,50.73271661394066,97.11146312342629,-11888
01,Araba/Álava,2022,164410,169498,333908,57265.0,53414.0,150170.0,85417.0,346266,45.99781093148042,17.149933514620795,15.996621823975467,44.97346574505553,25.58099835882938,149.16091853662795,70.08507544797233,50.76188650766079,96.99819466896365,-12358
01,Araba/Álava,2023,165600,170708,336308,56927.0,54803.0,150012.0,86921.0,348663,46.16787270229419,16.927043067664165,16.29547914411789,44.60554015961559,25.845653389155178,152.68853092557134,70.23313722139491,50.75942290995159,97.00775593410971,-12355
33,Asturias,2015,502026,547302,1049328,137602.0,172040.0,487478.0,296034.0,1093154,48.26015456193729,13.11334492170227,16.395254867877345,46.45620816370096,28.21176981839806,215.13786136829407,65.75044198945291,52.157380723663145,91.72741923106439,-43826
33,Asturias,2016,497543,542864,1040407,136906.0,163371.0,486109.0,299244.0,1085630,48.59466116448514,13.158888781025118,15.702604845988157,46.722965147293316,28.762205559939524,218.57624939739677,67.1537229783827,52.17804186246344,91.65150019157653,-45223
33,Asturias,2017,493967,539583,1033550,136493.0,156231.0,484578.0,302828.0,1080130,48.91531389740124,13.20623095157467,15.115959556867109,46.884814474384406,29.299791979101155,221.86339226187422,68.55724560672525,52.20676309806009,91.54606427556094,-46580
33,Asturias,2018,490804,536287,1027091,135703.0,150702.0,481292.0,307733.0,1075430,49.24804217847745,13.212363850914866,14.672701834598882,46.85972323776569,29.961610022870417,226.76948925226412,70.16459017015984,52.21416602813188,91.5189068539793,-48339
33,Asturias,2019,487926,533543,1021469,134631.0,146334.0,477781.0,312296.0,1071042,49.55170292108059,13.180135667357503,14.325838571704084,46.77391090674313,30.573223465420877,231.9644064145702,71.60971936261747,52.23291162042118,91.45017365048365,-49573
33,Asturias,2020,486142,531911,1018053,133267.0,143644.0,474806.0,317312.0,1069029,49.86687358341074,13.09037938103419,14.109677983366288,46.63863276273435,31.168514802274537,238.10245597184598,72.85617268978899,52.24786921702505,91.3953650140719,-50976
33,Asturias,2021,483186,528931,1012117,131309.0,141000.0,471045.0,319707.0,1063061,50.10712461467404,12.97369770490961,13.93119570168271,46.54056793829172,31.5879488240984,243.47683707895118,73.69000645377382,52.259867189267645,91.35142390973492,-50944
