codigo_provincia,provincia,anio,alquiler_mensual_eur_m2_mediana_vivienda_colectiva,alquiler_mensual_eur_m2_mediana_vivienda_unifamiliar,alquiler_mensual_eur_m2_p25_vivienda_colectiva,alquiler_mensual_eur_m2_p25_vivienda_unifamiliar,alquiler_mensual_eur_m2_p75_vivienda_colectiva,alquiler_mensual_eur_m2_p75_vivienda_unifamiliar,alquiler_mensual_total_eur_mediana_vivienda_colectiva,alquiler_mensual_total_eur_mediana_vivienda_unifamiliar,alquiler_mensual_total_eur_p25_vivienda_colectiva,alquiler_mensual_total_eur_p25_vivienda_unifamiliar,alquiler_mensual_total_eur_p75_vivienda_colectiva,alquiler_mensual_total_eur_p75_vivienda_unifamiliar,observaciones_alquiler_vivienda_colectiva,observaciones_alquiler_vivienda_unifamiliar,superficie_m2_mediana_vivienda_colectiva,superficie_m2_mediana_vivienda_unifamiliar,superficie_m2_p25_vivienda_colectiva,superficie_m2_p25_vivienda_unifamiliar,superficie_m2_p75_vivienda_colectiva,superficie_m2_p75_vivienda_unifamiliar
27,Lugo,2017,4.16666666666667,2.44205388471178,2.77777777777778,1.48023016748571,6.28571428571429,3.98499995934959,360.0,300.0,275.0,200.0,583.333333333333,478.088235294118,7245.0,889.0,99.5,196.0,78.0,132.0,120.0,286.75
27,Lugo,2018,4.22535211267606,2.45934959349593,2.84440500338066,1.39154231424588,6.38297872340426,4.02892857142857,363.0,300.0,280.0,200.0,600.0,500.0,7715.0,982.0,100.0,200.0,78.0,136.0,119.25,287.5
28,Madrid,2015,10.4166666666667,6.59211680338441,7.29166666666667,4.25531914893617,15.3714224084802,10.4166666666667,700.0,850.0,500.0,520.591693663407,1100.0,1500.0,266999.0,16517.0,71.0,189.0,57.0,134.0,91.0,254.0
28,Madrid,2016,10.9149747060432,6.88405797101449,7.59493670886076,4.42477876106195,15.9090909090909,10.8105944088418,733.333333333333,900.0,504.166666666667,550.0,1100.0,1505.375,295511.0,18114.0,71.0,190.0,57.0,134.0,91.0,254.0
28,Madrid,2017,11.1693492781728,7.04225352112676,7.79661016949153,4.59425452680403,16.3265306122449,10.9806397243395,750.0,900.0,530.0,564.720833333333,1150.0,1572.9561163522,319277.0,19195.0,71.0,188.0,56.0,131.0,91.0,253.0
28,Madrid,2018,11.6883116883117,7.32149220162319,8.11594202898551,4.70588235294118,17.1717171717172,11.521646228168,780.0,950.0,550.0,600.0,1200.0,1600.0,341763.0,20173.0,71.0,188.0,56.0,130.0,91.0,252.0
29,Málaga,2015,6.49565217391304,5.35330261136713,4.76190476190476,3.33333333333333,9.89010989010989,8.53658536585366,500.0,600.0,381.87,400.0,800.0,1000.0,29728.0,4665.0,86.0,150.0,67.0,104.0,110.0,223.0
29,Málaga,2016,6.96517412935323,5.74324324324324,5.06329113924051,3.515625,10.6666666666667,9.1743119266055,550.0,641.666666666667,400.0,400.0,840.008333333333,1050.0,33608.0,5168.0,86.0,150.0,67.0,104.0,109.0,220.0
29,Málaga,2017,7.14285714285714,5.92592592592593,5.2565,3.76788379757397,10.958904109589,9.50204918032787,550.0,650.0,400.0,406.180833333333,860.0,1100.0,36616.0,5683.0,85.0,147.0,66.0,102.0,108.0,217.0
29,Málaga,2018,7.67045454545455,6.22677595628415,5.52208835341366,3.89908256880734,11.6264534883721,9.85969387755102,600.0,700.0,425.0,450.0,900.0,1125.0,38966.0,6116.0,85.0,147.0,66.0,102.0,108.0,215.0
30,Murcia,2015,4.36507936507936,3.57142857142857,3.09734513274336,2.41935483870968,6.54761904761905,5.31196120689655,387.5,375.0,291.666666666667,270.0,583.333333333333,584.856259097526,21611.0,5397.0,98.0,136.0,77.0,99.0,117.0,193.0
30,Murcia,2016,4.50707746478873,3.79746835443038,3.19148936170213,2.56907930521812,6.80272108843537,5.66037735849057,400.0,400.0,300.0,287.291666666667,600.0,600.0,24562.0,6115.0,97.0,135.0,77.0,98.0,117.0,191.0
30,Murcia,2017,4.6218487394958,3.81932674199623,3.29444617281809,2.61194029850746,6.91056910569106,5.75014376437644,400.0,400.0,300.0,300.0,600.0,600.0,27001.0,6795.0,97.0,135.0,76.0,98.0,117.0,191.0
30,Murcia,2018,4.79452054794521,3.96942110177404,3.39805825242718,2.69426195478191,7.14285714285714,5.99950194797952,400.0,400.0,300.0,300.0,600.0,600.0600060006,29180.0,7425.0,97.0,135.0,77.0,98.0,117.0,191.0
32,Ourense,2015,4.52674897119342,3.20433628318584,3.125,1.96831692540704,6.97674418604651,5.04909829100179,380.0,340.0,290.0,229.583333333333,600.0,507.721666666667,7548.0,594.0,94.0,167.0,76.0,101.0,110.0,254.0
32,Ourense,2016,4.65470930232558,3.33333333333333,3.19182389937107,2.08333333333333,7.14285714285714,5.26315789473684,400.0,350.0,300.0,233.333333333333,600.0,577.140714071407,8094.0,663.0,93.0,169.0,76.0,102.0,109.0,260.25
32,Ourense,2017,4.73684210526316,3.53238265002971,3.27102803738318,2.20722975053896,7.29166666666667,5.53083804143126,400.0,352.083333333333,300.0,240.0,600.0,600.0,8600.0,731.0,92.0,164.0,75.0,98.0,108.0,254.25
32,Ourense,2018,4.848899958489,3.70873590982287,3.33333333333333,2.27272727272727,7.40148155554074,5.51136363636364,400.0,366.666666666667,300.0,247.5,612.541666666667,600.0,9175.0,767.0,93.0,159.0,75.0,98.0,108.0,256.25
33,Asturias,2015,5.90277777777778,3.75,4.25257731958763,2.10526315789474,8.7719298245614,5.88235294117647,420.0,380.0,320.0,232.5,636.27,650.0,31874.0,2564.0,78.0,154.0,64.0,97.0,93.0,231.0
33,Asturias,2016,6.13811340384949,3.93258426966292,4.43665153572035,2.34375,9.21052631578947,6.25,430.479166666667,400.0,335.0,250.0,680.0,700.0,34909.0,2752.0,78.0,154.0,63.0,96.0,93.0,234.0
33,Asturias,2017,6.2186964337974,4.07785336356765,4.54545454545455,2.44507841614907,9.28571428571429,6.46420539730135,439.620833333333,400.0,348.333333333333,266.5625,683.54,725.0,36915.0,2963.0,77.0,155.0,62.0,96.0,92.0,229.25
33,Asturias,2018,6.33802816901408,4.16666666666667,4.66666666666667,2.50224673202614,9.47368421052632,6.66666666666667,450.0,420.0,350.0,285.713127934272,700.0,750.056255625563,38621.0,2989.0,77.0,153.0,62.0,95.0,92.0,228.0
34,Palencia,2015,4.96213235294118,3.49848484848485,3.43731944444444,1.88238405924881,7.44400715563506,5.3619972260749,400.0,400.0,300.0,245.6025,600.0,600.0,3582.0,419.0,88.0,166.5,70.0,112.0,107.0,237.0
34,Palencia,2016,5.22388059701493,3.63636363636364,3.6874460742019,2.15293821526872,7.97670807453416,5.77906229929351,400.0,420.0,300.0,250.0,650.0,684.493333333333,3947.0,462.0,87.0,167.0,70.0,114.5,107.0,225.0
34,Palencia,2017,5.3030303030303,3.7593984962406,3.80952380952381,2.2,8.07457243460765,6.55737704918033,401.541666666667,450.0,320.0,260.0,653.526666666667,720.0,4094.0,484.0,87.0,168.0,70.0,115.0,106.0,226.0
34,Palencia,2018,5.4368932038835,4.0,3.86926420052557,2.4468085106383,8.41613379242499,6.35656786017585,416.696666666667,450.0,320.833333333333,300.0,689.08962264151,700.0,4310.0,516.0,86.0,160.0,70.0,112.0,105.0,224.0
35,"Palmas, Las",2015,6.07361268576682,5.59322033898305,4.48717948717949,3.35198729170719,9.17636043181317,8.92857142857143,450.0,520.0,350.0,366.666666666667,700.0,821.036036036036,25521.0,7866.0,79.0,112.0,62.0,72.0,97.0,200.5
35,"Palmas, Las",2016,6.37373737373737,5.99483451536643,4.64734162895928,3.71541908573361,9.67741935483871,9.57294832826748,470.0,595.0,350.0,400.0,700.0,900.0,28799.0,8866.0,78.0,112.0,62.0,71.0,97.0,198.0
35,"Palmas, Las",2017,6.59110824742268,6.19469026548673,4.81927710843374,3.77358490566038,9.87654320987654,9.94118242745618,490.0,600.0,365.208333333333,400.0,720.0,900.0,30886.0,9519.0,78.0,112.0,61.0,71.0,97.0,199.0
35,"Palmas, Las",2018,6.90789473684211,6.45161290322581,5.0,3.93564085739283,10.3830390920555,10.3077163386442,500.0,612.54125,390.0,400.0,770.0,1000.0,32283.0,9917.0,78.0,114.0,62.0,72.0,96.0,202.0
36,Pontevedra,2015,5.64516129032258,3.75,3.84615384615385,2.22222222222222,8.68074633699634,5.98665929174404,432.0,416.666666666667,325.0,280.833333333333,670.0,720.0,22555.0,2746.0,89.0,206.0,69.0,129.5,108.0,300.5
36,Pontevedra,2016,5.85106382978723,3.78787878787879,3.93325394038702,2.26027397260274,8.95255063765942,6.17283950617284,450.0,440.0,330.0,296.45,700.0,725.0,24730.0,3076.0,88.0,207.0,68.0,129.0,108.0,302.0
36,Pontevedra,2017,5.9808429118774,3.96087631437562,4.07407407407407,2.43276549512679,9.09090909090909,6.34940476190476,450.0,450.0,340.0,300.0,700.0,750.0,26232.0,3315.0,87.0,205.0,67.0,127.0,107.0,298.0
36,Pontevedra,2018,6.13636363636364,4.0680343378418,4.16666666666667,2.46334564765643,9.34684684684685,6.49350649350649,450.0,450.0,350.0,300.0,700.0,780.0,28268.0,3583.0,87.0,204.0,67.0,127.0,106.0,298.0
37,Salamanca,2015,5.29213483146067,3.23635209479475,3.81083189840723,2.03252032520325,8.19672131147541,4.91745283018868,450.0,400.0,330.0,229.791666666667,700.0,628.069672131148,10138.0,691.0,89.0,184.0,73.0,131.5,105.0,247.25
37,Salamanca,2016,5.48780487804878,3.48837209302326,3.94736842105263,2.04022168307883,8.54440850815851,5.49115518627714,450.0,407.5,345.0,246.666666666667,730.0,687.009166666667,11123.0,758.0,89.0,184.0,72.0,132.0,104.0,247.0
37,Salamanca,2017,5.55555555555556,3.61519607843137,4.02298850574713,2.11992809450437,8.62068965517241,6.06256109481916,450.0,450.0,350.0,250.0,733.333333333333,800.0,11956.0,782.0,89.0,184.0,72.0,130.0,104.0,247.5
37,Salamanca,2018,5.68023255813954,3.59342226219025,4.13546880213547,2.36943164362519,8.89563729246488,5.88235294117647,465.0,450.0,350.0,260.0,760.0,750.0,12450.0,853.0,88.0,184.0,72.0,133.0,104.0,246.0
38,Santa Cruz de Tenerife,2015,6.07407407407407,4.80769230769231,4.41176470588235,2.80701754385965,9.03614457831325,7.54716981132075,437.05,500.0,336.75,350.0,660.0,805.729166666667,24624.0,4057.0,77.0,153.0,61.0,95.0,96.0,240.0
38,Santa Cruz de Tenerife,2016,6.41745933600713,5.0,4.61538461538462,3.01564856711916,9.64997093852518,8.03847692718058,450.0,550.0,350.0,354.166666666667,700.0,880.0,27361.0,4563.0,76.0,152.0,60.0,94.0,95.0,236.25
38,Santa Cruz de Tenerife,2017,6.62430857926141,5.25890625,4.79452054794521,3.24074074074074,9.89583333333333,8.46153846153846,460.0,562.045833333333,350.0,375.0,700.0,900.0,29765.0,4984.0,76.0,149.0,60.0,94.0,95.0,234.0
38,Santa Cruz de Tenerife,2018,7.0,5.37634408602151,5.0,3.33333333333333,10.389107017014,8.75,500.0,600.0,375.0,398.49717689488,750.0,950.0,31809.0,5402.0,76.0,151.0,60.0,94.0,95.0,237.5
39,Cantabria,2015,6.12745098039216,4.46435714285714,4.51612903225807,2.6720477225173,9.05123954343642,7.04016471711626,450.0,500.0,350.0,312.5025,700.0,850.0,13360.0,1581.0,78.0,166.5,65.0,115.0,95.0,226.75
39,Cantabria,2016,6.34615384615385,4.7936170212766,4.70550527903469,3.125,9.57119283356907,7.57474850968703,460.0,550.0,350.0,350.0,740.839166666667,890.708333333333,14874.0,1793.0,78.0,166.0,65.0,113.0,95.0,229.0
