provincia,anio,trimestre,periodo,valor_transacciones_miles_euros
Badajoz,2009,4,2009-T4,12187.09
Badajoz,2010,1,2010-T1,7495.36
Badajoz,2010,2,2010-T2,11830.18
Badajoz,2010,3,2010-T3,7898.94
Badajoz,2010,4,2010-T4,6989.64
Badajoz,2011,1,2011-T1,6959.96
Badajoz,2011,2,2011-T2,3824.88
Badajoz,2011,3,2011-T3,6256.47
Badajoz,2011,4,2011-T4,4286.86
Badajoz,2012,1,2012-T1,4960.02
Badajoz,2012,2,2012-T2,11340.36
Badajoz,2012,3,2012-T3,4538.82
Badajoz,2012,4,2012-T4,10630.5
Badajoz,2013,1,2013-T1,1824.71
Badajoz,2013,2,2013-T2,2475.94
Badajoz,2013,3,2013-T3,8099.14
Badajoz,2013,4,2013-T4,4068.54
Badajoz,2014,1,2014-T1,3475.45
Badajoz,2014,2,2014-T2,5285.22
Badajoz,2014,3,2014-T3,4321.61
Badajoz,2014,4,2014-T4,3083.35
Badajoz,2015,1,2015-T1,3028.89
Badajoz,2015,2,2015-T2,3879.88
Badajoz,2015,3,2015-T3,3088.62
Badajoz,2015,4,2015-T4,5236.28
Badajoz,2016,1,2016-T1,3580.49
Badajoz,2016,2,2016-T2,5769.36
Badajoz,2016,3,2016-T3,5211.16
Badajoz,2016,4,2016-T4,4869.01
Badajoz,2017,1,2017-T1,4004.19
Badajoz,2017,2,2017-T2,7939.08
Badajoz,2017,3,2017-T3,7844.4
Badajoz,2017,4,2017-T4,6627.98
Badajoz,2018,1,2018-T1,4201.41
Badajoz,2018,2,2018-T2,3409.87
Badajoz,2018,3,2018-T3,4364.29
Badajoz,2018,4,2018-T4,5657.43
Badajoz,2019,1,2019-T1,3680.94
Badajoz,2019,2,2019-T2,3756.96
Badajoz,2019,3,2019-T3,3881.82
Badajoz,2019,4,2019-T4,4036.07
Badajoz,2020,1,2020-T1,2796.72
Badajoz,2020,2,2020-T2,2391.61
Badajoz,2020,3,2020-T3,4475.35
Badajoz,2020,4,2020-T4,9089.99
Badajoz,2021,1,2021-T1,6877.9
Badajoz,2021,2,2021-T2,9117.31
Badajoz,2021,3,2021-T3,6275.31
Badajoz,2021,4,2021-T4,11409.08
Badajoz,2022,1,2022-T1,10634.01
Badajoz,2022,2,2022-T2,6843.46
Badajoz,2022,3,2022-T3,3261.91
Badajoz,2022,4,2022-T4,5875.28
Badajoz,2023,1,2023-T1,4798.56
Badajoz,2023,2,2023-T2,10422.39
Badajoz,2023,3,2023-T3,4782.56
Badajoz,2023,4,2023-T4,16457.28
Badajoz,2024,1,2024-T1,9088.28
Badajoz,2024,2,2024-T2,9695.67
Badajoz,2024,3,2024-T3,3825.0
Badajoz,2024,4,2024-T4,6656.57
Badajoz,2025,1,2025-T1,11087.24
Badajoz,2025,2,2025-T2,8012.05
Badajoz,2025,3,2025-T3,10467.75
Badajoz,2025,4,2025-T4,6728.33
Badajoz,2026,1,2026-T1,7508.52
Barcelona,2004,1,2004-T1,819842.1
Barcelona,2004,2,2004-T2,720378.0
Barcelona,2004,3,2004-T3,669427.3
Barcelona,2004,4,2004-T4,911096.8
Barcelona,2005,1,2005-T1,731598.5
Barcelona,2005,2,2005-T2,980477.5
Barcelona,2005,3,2005-T3,898042.7
Barcelona,2005,4,2005-T4,558645.0
Barcelona,2006,1,2006-T1,633224.1
Barcelona,2006,2,2006-T2,465676.4
Barcelona,2006,3,2006-T3,508415.6
Barcelona,2006,4,2006-T4,587635.7
Barcelona,2007,1,2007-T1,684576.4
Barcelona,2007,2,2007-T2,750299.2
Barcelona,2007,3,2007-T3,636960.29412
Barcelona,2007,4,2007-T4,485906.5
Barcelona,2008,1,2008-T1,379667.1
Barcelona,2008,2,2008-T2,305102.5
Barcelona,2008,3,2008-T3,553980.73
Barcelona,2008,4,2008-T4,276953.53
Barcelona,2009,1,2009-T1,152341.87
Barcelona,2009,2,2009-T2,144535.39
Barcelona,2009,3,2009-T3,183166.05
Barcelona,2009,4,2009-T4,147506.77
Barcelona,2010,1,2010-T1,94570.39
Barcelona,2010,2,2010-T2,73692.38
Barcelona,2010,3,2010-T3,29541.9
Barcelona,2010,4,2010-T4,98450.05
Barcelona,2011,1,2011-T1,89502.77
Barcelona,2011,2,2011-T2,119143.78
Barcelona,2011,3,2011-T3,82387.1
Barcelona,2011,4,2011-T4,132116.46
Barcelona,2012,1,2012-T1,83458.76
Barcelona,2012,2,2012-T2,81628.69
Barcelona,2012,3,2012-T3,46083.04
Barcelona,2012,4,2012-T4,39914.16
Barcelona,2013,1,2013-T1,41372.57
Barcelona,2013,2,2013-T2,61590.12
Barcelona,2013,3,2013-T3,78770.02
Barcelona,2013,4,2013-T4,104004.71
Barcelona,2014,1,2014-T1,47997.17
Barcelona,2014,2,2014-T2,56688.15
Barcelona,2014,3,2014-T3,67976.49
Barcelona,2014,4,2014-T4,96880.6
Barcelona,2015,1,2015-T1,56243.72
Barcelona,2015,2,2015-T2,52254.42
Barcelona,2015,3,2015-T3,79374.34
Barcelona,2015,4,2015-T4,71241.82
Barcelona,2016,1,2016-T1,75499.89
Barcelona,2016,2,2016-T2,96874.98
Barcelona,2016,3,2016-T3,49336.27
Barcelona,2016,4,2016-T4,97961.38
Barcelona,2017,1,2017-T1,108912.63
Barcelona,2017,2,2017-T2,148608.23
Barcelona,2017,3,2017-T3,76366.32
Barcelona,2017,4,2017-T4,118575.3
Barcelona,2018,1,2018-T1,112044.43
Barcelona,2018,2,2018-T2,126388.68
Barcelona,2018,3,2018-T3,97581.35
Barcelona,2018,4,2018-T4,106391.74
Barcelona,2019,1,2019-T1,75338.56
Barcelona,2019,2,2019-T2,71360.74
Barcelona,2019,3,2019-T3,69820.08
Barcelona,2019,4,2019-T4,82645.64
