provincia,anio,precio_suelo_m2,n_trimestres_disponibles
Sevilla,2018,156.56,4
Sevilla,2019,155.5,4
Sevilla,2020,130.95,4
Sevilla,2021,144.71,4
Sevilla,2022,140.32,4
Sevilla,2023,146.78,4
Sevilla,2024,155.03,4
Sevilla,2025,170.3,4
Sevilla,2026,143.57,1
Soria,2004,73.18,4
Soria,2005,89.55,4
Soria,2006,125.46,4
Soria,2007,95.26,4
Soria,2008,87.34,3
Soria,2009,115.85,4
Soria,2010,76.83,4
Soria,2011,68.78,4
Soria,2012,63.66,4
Soria,2013,66.84,4
Soria,2014,76.59,4
Soria,2015,51.4,4
Soria,2016,57.06,4
Soria,2017,64.91,4
Soria,2018,57.64,4
Soria,2019,48.45,4
Soria,2020,69.53,3
Soria,2021,71.19,4
Soria,2022,78.35,4
Soria,2023,64.74,4
Soria,2024,97.56,4
Soria,2025,102.28,4
Soria,2026,73.46,1
Tarragona,2004,159.15,4
Tarragona,2005,209.66,4
Tarragona,2006,200.08,4
Tarragona,2007,207.04,4
Tarragona,2008,200.96,4
Tarragona,2009,187.71,4
Tarragona,2010,196.75,4
Tarragona,2011,201.01,4
Tarragona,2012,151.32,4
Tarragona,2013,127.45,4
Tarragona,2014,127.94,4
Tarragona,2015,110.73,4
Tarragona,2016,102.43,4
Tarragona,2017,107.51,4
Tarragona,2018,110.73,4
Tarragona,2019,107.0,4
Tarragona,2020,112.66,4
Tarragona,2021,108.51,4
Tarragona,2022,102.84,4
Tarragona,2023,110.97,4
Tarragona,2024,136.42,4
Tarragona,2025,128.62,4
Tarragona,2026,139.08,1
Teruel,2004,59.17,4
Teruel,2005,80.94,4
Teruel,2006,99.55,4
Teruel,2007,101.61,4
Teruel,2008,94.22,4
Teruel,2009,93.52,4
Teruel,2010,83.52,4
Teruel,2011,93.62,4
Teruel,2012,57.46,4
Teruel,2013,70.48,4
Teruel,2014,54.49,4
Teruel,2015,68.46,3
Teruel,2016,73.45,3
Teruel,2017,71.97,4
Teruel,2018,84.84,4
Teruel,2019,63.94,4
Teruel,2020,82.64,4
Teruel,2021,63.47,4
Teruel,2022,69.12,4
Teruel,2023,59.33,4
Teruel,2024,82.82,4
Teruel,2025,95.53,4
Teruel,2026,112.41,1
Toledo,2004,127.02,4
Toledo,2005,166.11,4
Toledo,2006,181.57,4
Toledo,2007,216.79,4
Toledo,2008,201.1,4
Toledo,2009,187.73,4
Toledo,2010,199.57,4
Toledo,2011,187.44,4
Toledo,2012,109.83,4
Toledo,2013,123.17,4
Toledo,2014,77.21,4
Toledo,2015,97.87,4
Toledo,2016,94.4,4
Toledo,2017,94.91,4
Toledo,2018,79.09,4
Toledo,2019,90.08,4
Toledo,2020,84.12,4
Toledo,2021,84.23,4
Toledo,2022,97.29,4
Toledo,2023,86.2,4
Toledo,2024,105.12,4
Toledo,2025,117.78,4
Toledo,2026,161.74,1
Valencia/València,2004,261.3,4
Valencia/València,2005,321.96,4
Valencia/València,2006,357.66,4
Valencia/València,2007,373.05,4
Valencia/València,2008,352.9,4
Valencia/València,2009,329.76,4
Valencia/València,2010,230.64,4
Valencia/València,2011,237.16,4
Valencia/València,2012,202.75,4
Valencia/València,2013,188.23,4
Valencia/València,2014,179.29,4
Valencia/València,2015,172.06,4
Valencia/València,2016,155.22,4
Valencia/València,2017,178.88,4
Valencia/València,2018,166.33,4
Valencia/València,2019,185.73,4
Valencia/València,2020,159.31,4
Valencia/València,2021,163.71,4
Valencia/València,2022,176.38,4
Valencia/València,2023,185.28,4
Valencia/València,2024,220.66,4
Valencia/València,2025,212.63,4
Valencia/València,2026,274.02,1
Valladolid,2004,123.77,4
Valladolid,2005,136.3,4
Valladolid,2006,152.74,4
Valladolid,2007,146.66,4
Valladolid,2008,180.52,4
Valladolid,2009,175.85,4
Valladolid,2010,137.76,4
Valladolid,2011,127.87,4
Valladolid,2012,121.48,4
Valladolid,2013,103.45,4
Valladolid,2014,96.49,4
Valladolid,2015,98.22,4
Valladolid,2016,87.07,4
Valladolid,2017,108.86,4
Valladolid,2018,107.24,4
Valladolid,2019,104.02,4
Valladolid,2020,81.31,4
Valladolid,2021,80.2,4
Valladolid,2022,109.16,4
Valladolid,2023,102.68,4
Valladolid,2024,117.03,4
Valladolid,2025,110.49,4
Valladolid,2026,110.65,1
Vizcaya,2004,298.1,4
Vizcaya,2005,323.56,4
Vizcaya,2006,311.5,4
Vizcaya,2007,321.07,4
Vizcaya,2008,328.11,4
Vizcaya,2009,338.69,4
Vizcaya,2010,344.88,4
Vizcaya,2011,311.7,4
Vizcaya,2012,374.96,4
Vizcaya,2013,257.55,4
Vizcaya,2014,196.89,4
Vizcaya,2015,235.29,4
Vizcaya,2016,181.36,4
Vizcaya,2017,189.28,4
Vizcaya,2018,200.18,4
Vizcaya,2019,244.82,4
Vizcaya,2020,251.77,4
Vizcaya,2021,230.13,4
Vizcaya,2022,229.58,4
Vizcaya,2023,260.42,4
