provincia,anio,trimestre,periodo,superficie_m2
Castellón/Castelló,2005,1,2005-T1,178.4
Castellón/Castelló,2005,2,2005-T2,378.3
Castellón/Castelló,2005,3,2005-T3,252.4
Castellón/Castelló,2005,4,2005-T4,327.0
Castellón/Castelló,2006,1,2006-T1,384.6
Castellón/Castelló,2006,2,2006-T2,372.9
Castellón/Castelló,2006,3,2006-T3,219.6
Castellón/Castelló,2006,4,2006-T4,214.4
Castellón/Castelló,2007,1,2007-T1,152.1
Castellón/Castelló,2007,2,2007-T2,100.9
Castellón/Castelló,2007,3,2007-T3,117.0727
Castellón/Castelló,2007,4,2007-T4,240.9
Castellón/Castelló,2008,1,2008-T1,163.0
Castellón/Castelló,2008,2,2008-T2,125.6
Castellón/Castelló,2008,3,2008-T3,129.66
Castellón/Castelló,2008,4,2008-T4,85.9
Castellón/Castelló,2009,1,2009-T1,62.28
Castellón/Castelló,2009,2,2009-T2,86.74
Castellón/Castelló,2009,3,2009-T3,218.63
Castellón/Castelló,2009,4,2009-T4,81.9
Castellón/Castelló,2010,1,2010-T1,67.92
Castellón/Castelló,2010,2,2010-T2,66.3
Castellón/Castelló,2010,3,2010-T3,133.89
Castellón/Castelló,2010,4,2010-T4,121.25
Castellón/Castelló,2011,1,2011-T1,92.22
Castellón/Castelló,2011,2,2011-T2,39.95
Castellón/Castelló,2011,3,2011-T3,80.24
Castellón/Castelló,2011,4,2011-T4,44.63
Castellón/Castelló,2012,1,2012-T1,134.84
Castellón/Castelló,2012,2,2012-T2,46.15
Castellón/Castelló,2012,3,2012-T3,102.27
Castellón/Castelló,2012,4,2012-T4,21.31
Castellón/Castelló,2013,1,2013-T1,26.73
