codigo_ccaa,ccaa,ccaa_original,anio,trimestre,periodo,tipo_vivienda,tipo_indicador,valor,valor_original
01,Andalucía,01 Andalucía,2020,2,2020T2,Vivienda nueva,Variación en lo que va de año,3.9,"3,9"
01,Andalucía,01 Andalucía,2020,2,2020T2,Vivienda segunda mano,Variación en lo que va de año,0.5,"0,5"
01,Andalucía,01 Andalucía,2020,2,2020T2,General,Variación trimestral,0.1,"0,1"
01,Andalucía,01 Andalucía,2020,2,2020T2,Vivienda nueva,Variación trimestral,2.1,"2,1"
01,Andalucía,01 Andalucía,2020,2,2020T2,Vivienda segunda mano,Variación trimestral,-0.1,"-0,1"
01,Andalucía,01 Andalucía,2020,2,2020T2,General,Índice,66.762,"66,762"
01,Andalucía,01 Andalucía,2020,2,2020T2,Vivienda nueva,Índice,60.812,"60,812"
01,Andalucía,01 Andalucía,2020,2,2020T2,Vivienda segunda mano,Índice,67.833,"67,833"
01,Andalucía,01 Andalucía,2020,3,2020T3,General,Variación anual,1.2,"1,2"
01,Andalucía,01 Andalucía,2020,3,2020T3,Vivienda nueva,Variación anual,5.8,"5,8"
01,Andalucía,01 Andalucía,2020,3,2020T3,Vivienda segunda mano,Variación anual,0.6,"0,6"
01,Andalucía,01 Andalucía,2020,3,2020T3,General,Variación en lo que va de año,1.9,"1,9"
01,Andalucía,01 Andalucía,2020,3,2020T3,Vivienda nueva,Variación en lo que va de año,8.0,"8,0"
01,Andalucía,01 Andalucía,2020,3,2020T3,Vivienda segunda mano,Variación en lo que va de año,1.0,"1,0"
