provincia,anio,numero_transacciones,n_trimestres_disponibles
Salamanca,2006,470.0,4
Salamanca,2007,295.0,4
Salamanca,2008,536.0,4
Salamanca,2009,265.0,4
Salamanca,2010,264.0,4
Salamanca,2011,243.0,4
Salamanca,2012,157.0,4
Salamanca,2013,145.0,4
Salamanca,2014,123.0,4
Salamanca,2015,231.0,4
Salamanca,2016,149.0,4
Salamanca,2017,197.0,4
Salamanca,2018,195.0,4
Salamanca,2019,274.0,4
Salamanca,2020,228.0,4
Salamanca,2021,373.0,4
Salamanca,2022,188.0,4
Salamanca,2023,188.0,4
Salamanca,2024,259.0,4
Salamanca,2025,455.0,4
Salamanca,2026,221.0,1
Santa Cruz de Tenerife,2004,1091.0,4
Santa Cruz de Tenerife,2005,1420.0,4
Santa Cruz de Tenerife,2006,1136.0,4
Santa Cruz de Tenerife,2007,814.0,4
Santa Cruz de Tenerife,2008,369.0,4
Santa Cruz de Tenerife,2009,275.0,4
Santa Cruz de Tenerife,2010,311.0,4
Santa Cruz de Tenerife,2011,234.0,4
Santa Cruz de Tenerife,2012,166.0,4
Santa Cruz de Tenerife,2013,179.0,4
Santa Cruz de Tenerife,2014,172.0,4
Santa Cruz de Tenerife,2015,200.0,4
Santa Cruz de Tenerife,2016,259.0,4
Santa Cruz de Tenerife,2017,294.0,4
Santa Cruz de Tenerife,2018,355.0,4
Santa Cruz de Tenerife,2019,324.0,4
Santa Cruz de Tenerife,2020,210.0,4
Santa Cruz de Tenerife,2021,355.0,4
Santa Cruz de Tenerife,2022,418.0,4
Santa Cruz de Tenerife,2023,424.0,4
Santa Cruz de Tenerife,2024,360.0,4
Santa Cruz de Tenerife,2025,393.0,4
Santa Cruz de Tenerife,2026,106.0,1
Segovia,2004,1445.0,4
Segovia,2005,1380.0,4
Segovia,2006,927.0,4
Segovia,2007,402.0,4
Segovia,2008,506.0,4
Segovia,2009,313.0,4
Segovia,2010,230.0,4
Segovia,2011,255.0,4
Segovia,2012,259.0,4
Segovia,2013,156.0,4
Segovia,2014,175.0,4
Segovia,2015,161.0,4
Segovia,2016,137.0,4
Segovia,2017,286.0,4
Segovia,2018,219.0,4
Segovia,2019,322.0,4
Segovia,2020,198.0,4
Segovia,2021,471.0,4
Segovia,2022,332.0,4
Segovia,2023,291.0,4
Segovia,2024,259.0,4
Segovia,2025,457.0,4
Segovia,2026,179.0,1
Sevilla,2004,4660.0,4
Sevilla,2005,4342.0,4
Sevilla,2006,3235.0,4
Sevilla,2007,3139.0,4
Sevilla,2008,2169.0,4
Sevilla,2009,1934.0,4
Sevilla,2010,1332.0,4
Sevilla,2011,1149.0,4
Sevilla,2012,1060.0,4
Sevilla,2013,856.0,4
Sevilla,2014,1052.0,4
Sevilla,2015,1002.0,4
Sevilla,2016,903.0,4
Sevilla,2017,1359.0,4
Sevilla,2018,1213.0,4
Sevilla,2019,1019.0,4
Sevilla,2020,1107.0,4
Sevilla,2021,1834.0,4
Sevilla,2022,1455.0,4
Sevilla,2023,1083.0,4
Sevilla,2024,1117.0,4
Sevilla,2025,1402.0,4
Sevilla,2026,506.0,1
Soria,2004,321.0,4
Soria,2005,275.0,4
Soria,2006,208.0,4
Soria,2007,205.0,4
Soria,2008,171.0,4
Soria,2009,147.0,4
Soria,2010,192.0,4
Soria,2011,93.0,4
Soria,2012,115.0,4
Soria,2013,70.0,4
Soria,2014,78.0,4
Soria,2015,64.0,4
Soria,2016,69.0,4
Soria,2017,74.0,4
Soria,2018,48.0,4
Soria,2019,93.0,4
Soria,2020,42.0,4
Soria,2021,127.0,4
Soria,2022,97.0,4
Soria,2023,92.0,4
