periodo;codigo_provincia;provincia;poblacion_total;pct_18_34;pct_35_64;pct_65_mas;tamano_medio_hogar;pct_hogares_unipersonales;salario_medio_anual_euros_total;salario_medio_anual_euros_hombre;salario_medio_anual_euros_mujer;tasa_empleo_pct_total;tasa_paro_pct_total;inflación;indice_costes_construccion;ipv_general;ratio_prestamo_valor_pct;tipo_interes_prestamos_vivienda_pct;credito_vivienda_variacion_interanual_pct;valor_tasado_m2;tasa_migracion_neta_exterior_por_1000_habitantes;compraventas_viviendas;pct_compraventas_vivienda_nueva;importe_medio_hipoteca_vivienda_eur;visados_obra_nueva_viviendas;IAV_total
2019T2;30;Murcia;1491312;19,79;41,51;18,05;2,80;23,80;17460,00;19214,00;15225,00;51,20;13,36;103,78;96,07;67,51;65,50;2,35;-1,14;1035,06;10,07;4170;18,51;82234,00;863;4,74
2019T3;30;Murcia;1491312;19,79;41,51;18,05;2,80;23,80;17460,00;19214,00;15225,00;50,71;14,16;102,74;93,19;67,98;64,70;2,15;-1,19;1016,40;10,07;4357;15,84;79969,01;626;4,66
2019T4;30;Murcia;1491312;19,79;41,51;18,05;2,80;23,80;17460,00;19214,00;15225,00;50,06;16,08;104,07;96,93;68,45;63,00;1,99;-1,08;1013,65;10,07;3870;16,25;81643,65;626;4,64
2020T1;30;Murcia;1509077;19,85;41,53;18,18;2,80;24,00;17914,00;19504,00;15857,00;49,30;16,46;102,80;92,62;68,35;63,80;2,03;-1,14;1010,15;4,35;4641;17,93;81816,55;647;4,51
2020T2;30;Murcia;1509077;19,85;41,53;18,18;2,80;24,00;17914,00;19504,00;15857,00;47,99;15,62;103,08;93,31;69,45;64,20;1,91;-1,64;977,55;4,35;2515;19,52;84408,22;529;4,37
2020T3;30;Murcia;1509077;19,85;41,53;18,18;2,80;24,00;17914,00;19504,00;15857,00;50,22;17,21;102,25;92,71;70,05;63,60;1,94;-1,62;979,25;4,35;3941;20,25;86815,26;573;4,37
2020T4;30;Murcia;1509077;19,85;41,53;18,18;2,80;24,00;17914,00;19504,00;15857,00;49,75;15,39;103,48;97,76;70,53;65,20;1,80;-1,19;1011,58;4,35;3924;18,07;81886,30;879;4,52
2021T1;30;Murcia;1518279;19,81;41,56;18,41;2,80;24,30;18696,00;20312,00;16641,00;49,27;16,88;103,41;94,96;70,72;64,70;1,72;-0,80;1014,58;5,56;4558;17,95;81569,04;1085;4,34
2021T2;30;Murcia;1518279;19,81;41,56;18,41;2,80;24,30;18696,00;20312,00;16641,00;52,01;13,62;105,72;100,28;72,48;64,90;1,62;0,07;1057,17;5,56;4903;20,05;84208,51;996;4,52
2021T3;30;Murcia;1518279;19,81;41,56;18,41;2,80;24,30;18696,00;20312,00;16641,00;52,09;15,20;105,56;99,76;74,45;65,20;1,59;0,74;1040,60;5,56;5258;18,66;87939,28;782;4,45
2021T4;30;Murcia;1518279;19,81;41,56;18,41;2,80;24,30;18696,00;20312,00;16641,00;51,95;13,19;109,24;105,01;75,20;65,40;1,54;0,76;1121,99;5,56;5066;18,52;86245,83;919;4,80
2022T1;30;Murcia;1529658;19,89;41,49;18,61;2,80;24,50;19469,00;21157,00;17354,00;51,25;13,64;111,64;105,46;77,44;65,20;1,60;0,72;1166,53;15,24;5967;18,23;88802,31;1261;4,79
2022T2;30;Murcia;1529658;19,89;41,49;18,61;2,80;24,50;19469,00;21157,00;17354,00;52,29;12,53;115,72;114,52;79,26;65,20;1,74;0,98;1176,19;15,24;5579;16,10;91108,17;928;4,83
2022T3;30;Murcia;1529658;19,89;41,49;18,61;2,80;24,50;19469,00;21157,00;17354,00;50,51;15,16;116,77;110,54;79,71;64,60;2,14;0,87;1203,36;15,24;6056;16,18;93058,26;977;4,94
2022T4;30;Murcia;1529658;19,89;41,49;18,61;2,80;24,50;19469,00;21157,00;17354,00;51,82;13,01;117,15;115,01;78,82;63,90;2,87;0,30;1201,44;15,24;5092;16,30;92706,12;1303;4,94
2023T1;30;Murcia;1551692;20,08;41,41;18,77;2,80;24,80;20552,00;22313,00;18366,00;51,20;13,65;117,84;112,83;78,76;63,00;3,59;-0,75;1235,68;11,49;6069;17,68;91447,65;1180;4,81
2023T2;30;Murcia;1551692;20,08;41,41;18,77;2,80;24,80;20552,00;22313,00;18366,00;51,99;12,46;119,37;116,60;80,37;62,70;3,89;-2,01;1230,60;11,49;5166;19,20;90576,94;1055;4,79
2023T3;30;Murcia;1551692;20,08;41,41;18,77;2,80;24,80;20552,00;22313,00;18366,00;52,24;13,53;120,45;112,78;81,52;62,20;4,06;-3,14;1270,42;11,49;5468;18,00;86278,62;1126;4,95
2023T4;30;Murcia;1551692;20,08;41,41;18,77;2,80;24,80;20552,00;22313,00;18366,00;52,47;11,46;120,84;117,61;81,84;61,40;4,03;-3,14;1323,68;11,49;4821;19,02;87967,41;1009;5,15
2024T1;30;Murcia;1568492;20,08;41,41;18,77;2,80;24,80;21483,00;23234,00;19327,00;51,74;12,95;121,67;113,32;83,26;61,50;3,69;-2,61;1340,49;11,92;5910;20,00;92982,16;1186;4,99
2024T2;30;Murcia;1568492;20,08;41,41;18,77;2,80;24,80;21483,00;23234,00;19327,00;52,52;12,63;123,51;117,41;86,39;63,00;3,55;-1,79;1356,79;11,92;5181;20,17;87811,76;1329;5,05
2024T3;30;Murcia;1568492;20,08;41,41;18,77;2,80;24,80;21483,00;23234,00;19327,00;53,12;11,95;122,76;114,16;88,88;63,30;3,45;-0,62;1344,54;11,92;6314;20,29;93249,05;899;5,01
2024T4;30;Murcia;1568492;20,08;41,41;18,77;2,80;24,80;21483,00;23234,00;19327,00;51,15;13,40;123,40;118,19;91,38;64,10;3,17;0,21;1396,88;11,92;6143;18,98;100651,81;1112;5,20
2015T1;31;Navarra;637317;18,61;40,52;22,23;2,60;27,70;24864,00;28169,00;21104,00;49,49;15,66;98,90;90,33;60,41;60,70;2,61;-3,78;1292,40;-0,60;1006;28,13;103607,92;333;4,16
2015T2;31;Navarra;637317;18,61;40,52;22,23;2,60;27,70;24864,00;28169,00;21104,00;51,21;12,55;100,82;93,72;62,07;61,80;2,51;-3,32;1351,10;-0,60;1229;26,69;104744,68;384;4,35
2015T3;31;Navarra;637317;18,61;40,52;22,23;2,60;27,70;24864,00;28169,00;21104,00;51,25;13,57;99,88;90,26;61,40;62,30;2,45;-3,36;1327,60;-0,60;1049;23,83;98970,71;233;4,27
2015T4;31;Navarra;637317;18,61;40,52;22,23;2,60;27,70;24864,00;28169,00;21104,00;50,73;13,53;100,40;92,91;61,36;63,20;2,43;-3,27;1343,27;-0,60;1002;25,95;105372,55;409;4,32
2016T1;31;Navarra;638922;18,14;40,64;22,55;2,60;27,80;25468,00;28862,00;21634,00;50,42;14,25;98,41;88,55;61,92;63,90;2,33;-3,32;1287,52;2,38;1249;28,02;99473,68;380;4,04
