periodo;codigo_provincia;provincia;comunidad_autonoma;poblacion_total;pct_18_34;pct_35_64;pct_65_mas;tamano_medio_hogar;pct_hogares_unipersonales;pct_poblacion_espanola;tasa_migracion_neta_exterior_por_1000_habitantes;salario_medio_anual_euros_total;salario_medio_anual_euros_hombre;salario_medio_anual_euros_mujer;tasa_actividad_pct_total;tasa_empleo_pct_total;tasa_paro_pct_total;renta_neta_media_por_hogar_eur;renta_mediana_por_unidad_consumo_eur;indice_precios_consumo_base_2015;indice_costes_construccion;tipo_interes_prestamos_vivienda_pct;importe_medio_hipoteca_vivienda_eur;valor_tasado_m2;ipv_general;compraventas_por_1000_hab;pct_compraventas_vivienda_nueva;visados_obra_nueva_por_1000_hab;plazas_hoteleras_por_1000_hab;pernoctaciones_por_habitante;valores_arrastrados;precio_m2_mercado;IAV_hombre;IAV_mujer;brecha_iav_absoluta;IAV_total
2015T3;52;Melilla;Melilla;85009,0;24,406;37,02;10,881;3,2;18,6;84,5;0,17;21002,0;23134,0;17853,0;57,68;39,57;31,4;35196,0;11550,0;99,62;90,26;2,45;135373,83;1467,9;51,962;1,506;15,63;0,412;9,921;0,48;0;1493,709;5,165;6,693;1,528;5,69
2015T4;52;Melilla;Melilla;85009,0;24,406;37,02;10,881;3,2;18,6;84,5;0,17;21002,0;23134,0;17853,0;55,78;37,57;32,64;35196,0;11550,0;100,75;92,907;2,427;130606,74;1463,0;52,178;1,282;15,6;0,412;9,964;0,409;0;1499,918;5,187;6,721;1,534;5,713
2016T1;52;Melilla;Melilla;85457,0;23,964;37,29;10,982;3,2;18,6;84,5;-0,2;20994,0;22901,0;18146,0;56,76;39,35;30,67;35748,0;12250,0;98,33;88,55;2,33;129651,69;1489,3;52,963;1,194;1,96;0,538;9,876;0,429;0;1522,484;5,318;6,712;1,394;5,802
2016T2;52;Melilla;Melilla;85457,0;23,964;37,29;10,982;3,2;18,6;84,5;-0,2;20994,0;22901,0;18146,0;57,88;38,29;33,84;35748,0;12250,0;100,24;92,68;2,323;133669,12;1468,1;54,31;1,58;5,93;0,491;9,712;0,478;0;1561,205;5,454;6,883;1,429;5,949
2016T3;52;Melilla;Melilla;85457,0;23,964;37,29;10,982;3,2;18,6;84,5;-0,2;20994,0;22901,0;18146,0;59,71;41,07;31,22;35748,0;12250,0;99,46;89,743;2,367;116244,19;1493,5;53,978;1,486;7,87;0,468;9,712;0,533;0;1551,661;5,42;6,841;1,42;5,913
2016T4;52;Melilla;Melilla;85457,0;23,964;37,29;10,982;3,2;18,6;84,5;-0,2;20994,0;22901,0;18146,0;59,85;43,46;27,38;35748,0;12250,0;101,65;93,203;2,273;99938,78;1504,8;53,869;1,474;3,17;0,386;9,712;0,423;0;1548,528;5,409;6,827;1,418;5,901
2017T1;52;Melilla;Melilla;85918,0;23,557;37,56;11,139;3,2;19,0;84,4;1,66;20956,0;22914,0;18080,0;57,92;40,86;29,46;36128,0;12250,0;101,0;90,093;2,237;126315,22;1551,6;55,499;1,28;3,64;0,524;9,753;0,387;0;1595,384;5,57;7,059;1,489;6,09
2017T2;52;Melilla;Melilla;85918,0;23,557;37,56;11,139;3,2;19,0;84,4;1,66;20956,0;22914,0;18080,0;60,25;42,04;30,22;36128,0;12250,0;102,34;93,773;2,17;119026,09;1572,5;56,409;1,653;4,23;0,535;9,753;0,416;0;1621,543;5,661;7,175;1,514;6,19
2017T3;52;Melilla;Melilla;85918,0;23,557;37,56;11,139;3,2;19,0;84,4;1,66;20956,0;22914,0;18080,0;60,02;44,32;26,16;36128,0;12250,0;101,42;91,133;2,217;131183,91;1563,1;56,507;1,467;3,97;0,431;9,753;0,513;0;1624,36;5,671;7,187;1,516;6,201
2017T4;52;Melilla;Melilla;85918,0;23,557;37,56;11,139;3,2;19,0;84,4;1,66;20956,0;22914,0;18080,0;60,72;45,77;24,62;36128,0;12250,0;103,38;94,803;2,153;124566,04;1520,7;58,007;1,385;0,84;0,489;9,753;0,485;0;1667,479;5,822;7,378;1,557;6,366
2018T1;52;Melilla;Melilla;86084,0;23,226;37,7;11,345;3,2;19,2;84,7;4,03;20972,0;22797,0;18338,0;60,92;44,32;27,24;37829,0;12950,0;101,85;91,97;2,227;129951,39;1556,5;58,991;1,777;3,27;0,5;9,735;0,384;0;1695,766;5,951;7,398;1,447;6,469
