codigo_provincia,provincia,anio,sexo,variable,valor
04,Almería,2020,hombres,tasa_empleo_pct,55.4475
04,Almería,2020,hombres,tasa_paro_pct,17.165
04,Almería,2020,mujeres,tasa_actividad_pct,50.45
04,Almería,2020,mujeres,tasa_empleo_pct,36.16
04,Almería,2020,mujeres,tasa_paro_pct,28.29
04,Almería,2020,total,tasa_actividad_pct,58.76
04,Almería,2020,total,tasa_empleo_pct,45.8675
04,Almería,2020,total,tasa_paro_pct,21.905
04,Almería,2021,hombres,tasa_actividad_pct,69.485
04,Almería,2021,hombres,tasa_empleo_pct,57.025000000000006
04,Almería,2021,hombres,tasa_paro_pct,17.97
04,Almería,2021,mujeres,tasa_actividad_pct,53.765
04,Almería,2021,mujeres,tasa_empleo_pct,42.4875
04,Almería,2021,mujeres,tasa_paro_pct,20.9875
04,Almería,2021,total,tasa_actividad_pct,61.765
04,Almería,2021,total,tasa_empleo_pct,49.89
04,Almería,2021,total,tasa_paro_pct,19.255000000000003
04,Almería,2022,hombres,tasa_actividad_pct,69.205
04,Almería,2022,hombres,tasa_empleo_pct,58.585
04,Almería,2022,hombres,tasa_paro_pct,15.355
04,Almería,2022,mujeres,tasa_actividad_pct,54.2375
04,Almería,2022,mujeres,tasa_empleo_pct,43.665
04,Almería,2022,mujeres,tasa_paro_pct,19.5475
04,Almería,2022,total,tasa_actividad_pct,61.8825
04,Almería,2022,total,tasa_empleo_pct,51.2825
04,Almería,2022,total,tasa_paro_pct,17.15
04,Almería,2023,hombres,tasa_actividad_pct,68.2875
04,Almería,2023,hombres,tasa_empleo_pct,58.0
04,Almería,2023,hombres,tasa_paro_pct,15.0375
04,Almería,2023,mujeres,tasa_actividad_pct,54.739999999999995
04,Almería,2023,mujeres,tasa_empleo_pct,45.3275
04,Almería,2023,mujeres,tasa_paro_pct,17.2575
04,Almería,2023,total,tasa_actividad_pct,61.69
04,Almería,2023,total,tasa_empleo_pct,51.83
04,Almería,2023,total,tasa_paro_pct,15.972499999999998
04,Almería,2024,hombres,tasa_actividad_pct,67.41
04,Almería,2024,hombres,tasa_empleo_pct,57.815
04,Almería,2024,hombres,tasa_paro_pct,14.225
04,Almería,2024,mujeres,tasa_actividad_pct,52.86
