codigo_provincia,provincia,anio,pernoctaciones_residentes_espana,viajeros_residentes_espana,pernoctaciones_residentes_extranjero,viajeros_residentes_extranjero,pernoctaciones_total,viajeros_total,estancia_media_total,estancia_media_residentes_espana,estancia_media_residentes_extranjero
20,Gipuzkoa,2022,1347245,678634,1261097,610529,2608342,1289163,2.023283324141323,1.9852306250497322,2.0655808323601335
20,Gipuzkoa,2023,1430364,712698,1426589,728143,2856954,1440841,1.982837800978734,2.006970694459645,1.9592154288374675
20,Gipuzkoa,2024,1459165,742696,1573067,800897,3032230,1543597,1.9643922604151214,1.964686762820858,1.9641314675919626
20,Gipuzkoa,2025,1539240,763031,1743928,867606,3283166,1630638,2.013424193475192,2.0172705958211394,2.0100460347208293
21,Huelva,2015,2521792,726865,955738,186298,3477529,913163,3.8082237234754364,3.4694090374416158,5.130157060193883
21,Huelva,2016,2607423,768453,1281964,233606,3889389,1002059,3.8813972031586963,3.3930806438389856,5.487718637363766
21,Huelva,2017,2587792,771719,1486961,272239,4074753,1043957,3.903180878139617,3.353282736332784,5.461969078640459
21,Huelva,2018,2754204,758099,1289542,224888,4043745,982987,4.113731921174949,3.633040011924564,5.7341521112731675
21,Huelva,2019,2879914,826436,1291736,252511,4171649,1078946,3.8664112939850557,3.4847392901567695,5.115563282391658
21,Huelva,2020,1336495,408032,164797,39123,1501293,447154,3.3574406133010104,3.2754661399105953,4.212279221941058
21,Huelva,2021,2213700,675939,383502,91176,2597204,767119,3.3856598519916727,3.2749996671297263,4.206172677020269
21,Huelva,2022,2666647,852688,1056864,231222,3723510,1083911,3.4352543705156604,3.127342005516672,4.570776137218777
