codigo_provincia,provincia,anio,pernoctaciones_residentes_espana,viajeros_residentes_espana,pernoctaciones_residentes_extranjero,viajeros_residentes_extranjero,pernoctaciones_total,viajeros_total,estancia_media_total,estancia_media_residentes_espana,estancia_media_residentes_extranjero
15,"Coruña, A",2015,2280719,1219363,1131831,725506,3412550,1944870,1.7546416984168607,1.8704184069879108,1.560057394425408
15,"Coruña, A",2016,2418323,1337243,1120533,723329,3538855,2060573,1.7174130690832112,1.8084394534127306,1.5491332436553766
15,"Coruña, A",2017,2487772,1316714,1196652,746141,3684426,2062856,1.7860800753906234,1.8893791666223645,1.6037880239793818
15,"Coruña, A",2018,2392331,1250479,1091976,625403,3484306,1875882,1.8574228016474383,1.9131316879371825,1.746035756144438
15,"Coruña, A",2019,2532791,1284969,1153450,652504,3686239,1937474,1.9026004994131533,1.9710911313813797,1.7677286269509458
15,"Coruña, A",2020,1178723,579941,210081,95373,1388804,675314,2.0565307397743866,2.0324877875508025,2.202730332484036
15,"Coruña, A",2021,2246515,1117404,439819,238994,2686334,1356396,1.9804938970625097,2.0104769626741983,1.8402930617505042
15,"Coruña, A",2022,2747970,1462506,1210239,707304,3958208,2169808,1.8242203918503388,1.8789461376568712,1.7110591768178889
15,"Coruña, A",2023,2710586,1471033,1409877,842680,4120466,2313714,1.7808882169533486,1.8426411915980132,1.6730870555845636
15,"Coruña, A",2024,2638608,1452813,1458740,892568,4097350,2345384,1.7469847155092726,1.8162062151150906,1.6343180575597602
15,"Coruña, A",2025,2709663,1491610,1426981,869339,4136642,2360950,1.7521091086215295,1.8166028653602484,1.6414551745636627
