codigo_provincia,provincia,anio,mes,periodo,variable,valor
01,Araba/Álava,2018,6,2018M06,grado_ocupacion_plazas_fin_semana_pct,62.6
01,Araba/Álava,2018,6,2018M06,grado_ocupacion_plazas_pct,51.51
01,Araba/Álava,2018,6,2018M06,habitaciones_estimadas,2275.0
01,Araba/Álava,2018,6,2018M06,personal_empleado,506.0
01,Araba/Álava,2018,6,2018M06,plazas_estimadas,4453.0
01,Araba/Álava,2018,7,2018M07,establecimientos_abiertos_estimados,72.0
01,Araba/Álava,2018,7,2018M07,grado_ocupacion_habitaciones_pct,69.03
01,Araba/Álava,2018,7,2018M07,grado_ocupacion_plazas_fin_semana_pct,66.47
01,Araba/Álava,2018,7,2018M07,grado_ocupacion_plazas_pct,58.49
01,Araba/Álava,2018,7,2018M07,habitaciones_estimadas,2251.0
01,Araba/Álava,2018,7,2018M07,personal_empleado,519.0
01,Araba/Álava,2018,7,2018M07,plazas_estimadas,4418.0
01,Araba/Álava,2018,8,2018M08,establecimientos_abiertos_estimados,72.0
01,Araba/Álava,2018,8,2018M08,grado_ocupacion_habitaciones_pct,79.14
01,Araba/Álava,2018,8,2018M08,grado_ocupacion_plazas_fin_semana_pct,74.75
01,Araba/Álava,2018,8,2018M08,grado_ocupacion_plazas_pct,72.53
01,Araba/Álava,2018,8,2018M08,habitaciones_estimadas,2252.0
01,Araba/Álava,2018,8,2018M08,personal_empleado,500.0
01,Araba/Álava,2018,8,2018M08,plazas_estimadas,4417.0
01,Araba/Álava,2018,9,2018M09,establecimientos_abiertos_estimados,73.0
01,Araba/Álava,2018,9,2018M09,grado_ocupacion_habitaciones_pct,72.87
01,Araba/Álava,2018,9,2018M09,grado_ocupacion_plazas_fin_semana_pct,63.23
01,Araba/Álava,2018,9,2018M09,grado_ocupacion_plazas_pct,58.0
01,Araba/Álava,2018,9,2018M09,habitaciones_estimadas,2259.0
01,Araba/Álava,2018,9,2018M09,personal_empleado,469.0
01,Araba/Álava,2018,9,2018M09,plazas_estimadas,4431.0
01,Araba/Álava,2018,10,2018M10,establecimientos_abiertos_estimados,73.0
01,Araba/Álava,2018,10,2018M10,grado_ocupacion_habitaciones_pct,66.92
01,Araba/Álava,2018,10,2018M10,grado_ocupacion_plazas_fin_semana_pct,66.86
01,Araba/Álava,2018,10,2018M10,grado_ocupacion_plazas_pct,53.6
01,Araba/Álava,2018,10,2018M10,habitaciones_estimadas,2258.0
01,Araba/Álava,2018,10,2018M10,personal_empleado,468.0
01,Araba/Álava,2018,10,2018M10,plazas_estimadas,4429.0
01,Araba/Álava,2018,11,2018M11,establecimientos_abiertos_estimados,72.0
01,Araba/Álava,2018,11,2018M11,grado_ocupacion_habitaciones_pct,57.9
01,Araba/Álava,2018,11,2018M11,grado_ocupacion_plazas_fin_semana_pct,59.13
01,Araba/Álava,2018,11,2018M11,grado_ocupacion_plazas_pct,44.2
01,Araba/Álava,2018,11,2018M11,habitaciones_estimadas,2248.0
01,Araba/Álava,2018,11,2018M11,personal_empleado,451.0
01,Araba/Álava,2018,11,2018M11,plazas_estimadas,4410.0
01,Araba/Álava,2018,12,2018M12,establecimientos_abiertos_estimados,69.0
01,Araba/Álava,2018,12,2018M12,grado_ocupacion_habitaciones_pct,49.84
01,Araba/Álava,2018,12,2018M12,grado_ocupacion_plazas_fin_semana_pct,49.1
01,Araba/Álava,2018,12,2018M12,grado_ocupacion_plazas_pct,41.93
01,Araba/Álava,2018,12,2018M12,habitaciones_estimadas,2153.0
01,Araba/Álava,2018,12,2018M12,personal_empleado,401.0
01,Araba/Álava,2018,12,2018M12,plazas_estimadas,4222.0
01,Araba/Álava,2019,1,2019M01,establecimientos_abiertos_estimados,60.0
01,Araba/Álava,2019,1,2019M01,grado_ocupacion_habitaciones_pct,45.52
01,Araba/Álava,2019,1,2019M01,grado_ocupacion_plazas_fin_semana_pct,39.55
01,Araba/Álava,2019,1,2019M01,grado_ocupacion_plazas_pct,34.65
01,Araba/Álava,2019,1,2019M01,habitaciones_estimadas,1992.0
01,Araba/Álava,2019,1,2019M01,personal_empleado,368.0
01,Araba/Álava,2019,1,2019M01,plazas_estimadas,3925.0
01,Araba/Álava,2019,2,2019M02,establecimientos_abiertos_estimados,62.0
01,Araba/Álava,2019,2,2019M02,grado_ocupacion_habitaciones_pct,50.02
01,Araba/Álava,2019,2,2019M02,grado_ocupacion_plazas_fin_semana_pct,43.84
01,Araba/Álava,2019,2,2019M02,grado_ocupacion_plazas_pct,37.41
01,Araba/Álava,2019,2,2019M02,habitaciones_estimadas,2038.0
01,Araba/Álava,2019,2,2019M02,personal_empleado,386.0
01,Araba/Álava,2019,2,2019M02,plazas_estimadas,4016.0
01,Araba/Álava,2019,3,2019M03,establecimientos_abiertos_estimados,66.0
01,Araba/Álava,2019,3,2019M03,grado_ocupacion_habitaciones_pct,55.08
01,Araba/Álava,2019,3,2019M03,grado_ocupacion_plazas_fin_semana_pct,55.07
01,Araba/Álava,2019,3,2019M03,grado_ocupacion_plazas_pct,43.25
01,Araba/Álava,2019,3,2019M03,habitaciones_estimadas,2135.0
01,Araba/Álava,2019,3,2019M03,personal_empleado,418.0
01,Araba/Álava,2019,3,2019M03,plazas_estimadas,4204.0
01,Araba/Álava,2019,4,2019M04,establecimientos_abiertos_estimados,68.0
01,Araba/Álava,2019,4,2019M04,grado_ocupacion_habitaciones_pct,60.98
01,Araba/Álava,2019,4,2019M04,grado_ocupacion_plazas_fin_semana_pct,64.3
01,Araba/Álava,2019,4,2019M04,grado_ocupacion_plazas_pct,49.89
