provincia,anio,superficie_m2,n_trimestres_disponibles
Palmas (Las),2004,2298.3,4
Palmas (Las),2005,1693.5,4
Palmas (Las),2006,1329.4,4
Palmas (Las),2007,844.6313399999999,4
Palmas (Las),2008,559.5,4
Palmas (Las),2009,343.08,4
Palmas (Las),2010,221.06,4
Palmas (Las),2011,232.41,4
Palmas (Las),2012,383.65,4
Palmas (Las),2013,293.17999999999995,4
Palmas (Las),2014,626.77,4
Palmas (Las),2015,238.25,4
Palmas (Las),2016,304.52,4
Palmas (Las),2017,300.75,4
Palmas (Las),2018,429.17,4
Palmas (Las),2019,267.71,4
Palmas (Las),2020,258.59000000000003,4
Palmas (Las),2021,508.13,4
Palmas (Las),2022,293.51,4
Palmas (Las),2023,468.72999999999996,4
Palmas (Las),2024,460.08,4
Palmas (Las),2025,476.56,4
Palmas (Las),2026,73.23,1
Pontevedra,2004,731.3,4
Pontevedra,2005,615.7,4
Pontevedra,2006,481.8,4
Pontevedra,2007,243.49769,4
Pontevedra,2008,148.38,4
Pontevedra,2009,202.48,4
Pontevedra,2010,168.61,4
Pontevedra,2011,94.05,4
Pontevedra,2012,105.44,4
Pontevedra,2013,104.57000000000001,4
Pontevedra,2014,115.21000000000001,4
Pontevedra,2015,231.64,4
Pontevedra,2016,107.3,4
Pontevedra,2017,177.93,4
Pontevedra,2018,187.32,4
Pontevedra,2019,157.70999999999998,4
Pontevedra,2020,78.07,4
Pontevedra,2021,252.23,4
Pontevedra,2022,131.35,4
Pontevedra,2023,102.2,4
Pontevedra,2024,107.64,4
Pontevedra,2025,229.21,4
Pontevedra,2026,36.72,1
Salamanca,2004,610.1,4
Salamanca,2005,407.8,4
Salamanca,2006,894.9000000000001,4
Salamanca,2007,408.60519,4
Salamanca,2008,533.95,4
Salamanca,2009,192.2,4
Salamanca,2010,263.8,4
Salamanca,2011,228.47,4
Salamanca,2012,94.01,4
Salamanca,2013,108.94,4
Salamanca,2014,158.86,4
Salamanca,2015,189.45,4
Salamanca,2016,118.97,4
Salamanca,2017,233.96999999999997,4
Salamanca,2018,108.03999999999999,4
Salamanca,2019,129.12,4
Salamanca,2020,162.78,4
Salamanca,2021,236.29000000000002,4
Salamanca,2022,141.81,4
Salamanca,2023,147.92000000000002,4
Salamanca,2024,171.7,4
Salamanca,2025,485.46999999999997,4
Salamanca,2026,120.99,1
Santa Cruz de Tenerife,2004,1266.7,4
Santa Cruz de Tenerife,2005,1347.0,4
Santa Cruz de Tenerife,2006,1508.9,4
Santa Cruz de Tenerife,2007,744.71182,4
Santa Cruz de Tenerife,2008,477.88,4
Santa Cruz de Tenerife,2009,506.65999999999997,4
Santa Cruz de Tenerife,2010,313.5,4
Santa Cruz de Tenerife,2011,329.13,4
Santa Cruz de Tenerife,2012,306.99,4
Santa Cruz de Tenerife,2013,391.59999999999997,4
Santa Cruz de Tenerife,2014,530.71,4
Santa Cruz de Tenerife,2015,333.72,4
Santa Cruz de Tenerife,2016,677.89,4
Santa Cruz de Tenerife,2017,368.96,4
Santa Cruz de Tenerife,2018,469.81,4
Santa Cruz de Tenerife,2019,324.33000000000004,4
Santa Cruz de Tenerife,2020,192.87,4
Santa Cruz de Tenerife,2021,328.22,4
Santa Cruz de Tenerife,2022,659.0899999999999,4
Santa Cruz de Tenerife,2023,382.14,4
Santa Cruz de Tenerife,2024,412.07,4
Santa Cruz de Tenerife,2025,291.6,4
Santa Cruz de Tenerife,2026,69.3,1
Segovia,2004,1708.1,4
Segovia,2005,1794.7,4
Segovia,2006,1276.2,4
Segovia,2007,585.44013,4
Segovia,2008,444.9,4
Segovia,2009,257.96999999999997,4
Segovia,2010,179.57999999999998,4
Segovia,2011,195.64,4
Segovia,2012,269.20000000000005,4
Segovia,2013,82.27000000000001,4
Segovia,2014,170.29,4
Segovia,2015,77.61,4
Segovia,2016,114.42,4
Segovia,2017,256.64,4
Segovia,2018,173.37,4
Segovia,2019,229.52,4
Segovia,2020,162.45,4
Segovia,2021,332.87,4
Segovia,2022,248.26,4
Segovia,2023,207.25,4
Segovia,2024,153.34,4
Segovia,2025,359.49,4
Segovia,2026,92.64,1
Sevilla,2004,3837.9,4
Sevilla,2005,3829.3999999999996,4
Sevilla,2006,3043.3,4
Sevilla,2007,2595.72642,4
Sevilla,2008,1265.1,4
Sevilla,2009,779.6500000000001,4
Sevilla,2010,905.39,4
Sevilla,2011,958.9499999999999,4
Sevilla,2012,527.37,4
Sevilla,2013,947.76,4
Sevilla,2014,959.95,4
Sevilla,2015,879.3800000000001,4
Sevilla,2016,754.16,4
Sevilla,2017,1128.8600000000001,4
Sevilla,2018,1036.0900000000001,4
Sevilla,2019,806.6800000000001,4
Sevilla,2020,682.16,4
Sevilla,2021,1942.8999999999999,4
Sevilla,2022,1009.69,4
Sevilla,2023,1070.14,4
Sevilla,2024,1080.3400000000001,4
Sevilla,2025,1420.58,4
Sevilla,2026,291.35,1
Soria,2004,244.0,4
Soria,2005,249.2,4
Soria,2006,154.6,4
Soria,2007,232.22666,4
Soria,2008,134.47,4
Soria,2009,262.82,4
Soria,2010,151.16,4
Soria,2011,282.71000000000004,4
Soria,2012,421.37000000000006,4
Soria,2013,22.060000000000002,4
Soria,2014,207.89,4
Soria,2015,78.44,4
Soria,2016,50.11000000000001,4
Soria,2017,60.24,4
Soria,2018,18.64,4
Soria,2019,90.22,4
Soria,2020,19.91,4
Soria,2021,119.39,4
Soria,2022,73.14,4
Soria,2023,69.41,4
Soria,2024,172.22,4
Soria,2025,76.28,4
Soria,2026,8.04,1
Tarragona,2004,5347.2,4
Tarragona,2005,4424.9,4
Tarragona,2006,2309.5,4
Tarragona,2007,1838.76323,4
Tarragona,2008,2135.76,4
Tarragona,2009,684.41,4
Tarragona,2010,749.8199999999999,4
Tarragona,2011,961.94,4
Tarragona,2012,573.01,4
Tarragona,2013,558.63,4
Tarragona,2014,1011.5600000000001,4
Tarragona,2015,624.57,4
Tarragona,2016,490.86,4
Tarragona,2017,533.4,4
Tarragona,2018,796.49,4
Tarragona,2019,803.79,4
Tarragona,2020,471.53999999999996,4
Tarragona,2021,1212.77,4
Tarragona,2022,1303.12,4
Tarragona,2023,950.29,4
Tarragona,2024,648.09,4
Tarragona,2025,1416.29,4
Tarragona,2026,308.6,1
Teruel,2004,170.8,4
Teruel,2005,126.5,4
Teruel,2006,140.7,4
Teruel,2007,181.34208999999998,4
Teruel,2008,320.65999999999997,4
Teruel,2009,124.72,4
Teruel,2010,65.15,4
Teruel,2011,33.42,4
Teruel,2012,38.33,4
Teruel,2013,41.18,4
Teruel,2014,76.46000000000001,4
Teruel,2015,34.06,4
Teruel,2016,74.0,4
Teruel,2017,30.42,4
Teruel,2018,40.25,4
Teruel,2019,62.900000000000006,4
Teruel,2020,28.939999999999998,4
Teruel,2021,83.87,4
Teruel,2022,113.92,4
Teruel,2023,175.28,4
Teruel,2024,45.0,4
Teruel,2025,204.51,4
Teruel,2026,22.5,1
