codigo_provincia,provincia,provincia_original,anio,tipo_edificacion,tipo_dato,valor,valor_original,edificacion_normalizada,dato_normalizado,variable
12,Castellón/Castelló,12 Castellón/Castelló,2019,Total,Índice,107.94,"107,940",general,indice,ipva_indice_general
12,Castellón/Castelló,12 Castellón/Castelló,2019,Vivienda colectiva,Índice,108.444,"108,444",colectiva,indice,ipva_indice_colectiva
12,Castellón/Castelló,12 Castellón/Castelló,2019,Vivienda unifamiliar,Índice,104.903,"104,903",unifamiliar,indice,ipva_indice_unifamiliar
12,Castellón/Castelló,12 Castellón/Castelló,2020,Total,Variación anual,1.5,"1,5",general,variacion_anual,ipva_variacion_anual_general
12,Castellón/Castelló,12 Castellón/Castelló,2020,Vivienda colectiva,Variación anual,1.6,"1,6",colectiva,variacion_anual,ipva_variacion_anual_colectiva
12,Castellón/Castelló,12 Castellón/Castelló,2020,Vivienda unifamiliar,Variación anual,0.7,"0,7",unifamiliar,variacion_anual,ipva_variacion_anual_unifamiliar
12,Castellón/Castelló,12 Castellón/Castelló,2020,Total,Índice,109.541,"109,541",general,indice,ipva_indice_general
12,Castellón/Castelló,12 Castellón/Castelló,2020,Vivienda colectiva,Índice,110.19,"110,190",colectiva,indice,ipva_indice_colectiva
12,Castellón/Castelló,12 Castellón/Castelló,2020,Vivienda unifamiliar,Índice,105.635,"105,635",unifamiliar,indice,ipva_indice_unifamiliar
12,Castellón/Castelló,12 Castellón/Castelló,2021,Total,Variación anual,2.5,"2,5",general,variacion_anual,ipva_variacion_anual_general
12,Castellón/Castelló,12 Castellón/Castelló,2021,Vivienda colectiva,Variación anual,2.5,"2,5",colectiva,variacion_anual,ipva_variacion_anual_colectiva
12,Castellón/Castelló,12 Castellón/Castelló,2021,Vivienda unifamiliar,Variación anual,2.0,"2,0",unifamiliar,variacion_anual,ipva_variacion_anual_unifamiliar
12,Castellón/Castelló,12 Castellón/Castelló,2021,Total,Índice,112.238,"112,238",general,indice,ipva_indice_general
12,Castellón/Castelló,12 Castellón/Castelló,2021,Vivienda colectiva,Índice,112.987,"112,987",colectiva,indice,ipva_indice_colectiva
12,Castellón/Castelló,12 Castellón/Castelló,2021,Vivienda unifamiliar,Índice,107.748,"107,748",unifamiliar,indice,ipva_indice_unifamiliar
12,Castellón/Castelló,12 Castellón/Castelló,2022,Total,Variación anual,3.0,"3,0",general,variacion_anual,ipva_variacion_anual_general
12,Castellón/Castelló,12 Castellón/Castelló,2022,Vivienda colectiva,Variación anual,3.0,"3,0",colectiva,variacion_anual,ipva_variacion_anual_colectiva
12,Castellón/Castelló,12 Castellón/Castelló,2022,Vivienda unifamiliar,Variación anual,2.6,"2,6",unifamiliar,variacion_anual,ipva_variacion_anual_unifamiliar
12,Castellón/Castelló,12 Castellón/Castelló,2022,Total,Índice,115.577,"115,577",general,indice,ipva_indice_general
12,Castellón/Castelló,12 Castellón/Castelló,2022,Vivienda colectiva,Índice,116.424,"116,424",colectiva,indice,ipva_indice_colectiva
12,Castellón/Castelló,12 Castellón/Castelló,2022,Vivienda unifamiliar,Índice,110.5,"110,500",unifamiliar,indice,ipva_indice_unifamiliar
12,Castellón/Castelló,12 Castellón/Castelló,2023,Total,Variación anual,3.1,"3,1",general,variacion_anual,ipva_variacion_anual_general
12,Castellón/Castelló,12 Castellón/Castelló,2023,Vivienda colectiva,Variación anual,3.2,"3,2",colectiva,variacion_anual,ipva_variacion_anual_colectiva
12,Castellón/Castelló,12 Castellón/Castelló,2023,Vivienda unifamiliar,Variación anual,2.4,"2,4",unifamiliar,variacion_anual,ipva_variacion_anual_unifamiliar
12,Castellón/Castelló,12 Castellón/Castelló,2023,Total,Índice,119.114,"119,114",general,indice,ipva_indice_general
12,Castellón/Castelló,12 Castellón/Castelló,2023,Vivienda colectiva,Índice,120.098,"120,098",colectiva,indice,ipva_indice_colectiva
12,Castellón/Castelló,12 Castellón/Castelló,2023,Vivienda unifamiliar,Índice,113.193,"113,193",unifamiliar,indice,ipva_indice_unifamiliar
12,Castellón/Castelló,12 Castellón/Castelló,2024,Total,Variación anual,4.1,"4,1",general,variacion_anual,ipva_variacion_anual_general
12,Castellón/Castelló,12 Castellón/Castelló,2024,Vivienda colectiva,Variación anual,4.2,"4,2",colectiva,variacion_anual,ipva_variacion_anual_colectiva
12,Castellón/Castelló,12 Castellón/Castelló,2024,Vivienda unifamiliar,Variación anual,3.3,"3,3",unifamiliar,variacion_anual,ipva_variacion_anual_unifamiliar
12,Castellón/Castelló,12 Castellón/Castelló,2024,Total,Índice,123.948,"123,948",general,indice,ipva_indice_general
12,Castellón/Castelló,12 Castellón/Castelló,2024,Vivienda colectiva,Índice,125.107,"125,107",colectiva,indice,ipva_indice_colectiva
12,Castellón/Castelló,12 Castellón/Castelló,2024,Vivienda unifamiliar,Índice,116.943,"116,943",unifamiliar,indice,ipva_indice_unifamiliar
13,Ciudad Real,13 Ciudad Real,2015,Total,Variación anual,-1.9,"-1,9",general,variacion_anual,ipva_variacion_anual_general
13,Ciudad Real,13 Ciudad Real,2015,Vivienda colectiva,Variación anual,-2.1,"-2,1",colectiva,variacion_anual,ipva_variacion_anual_colectiva
13,Ciudad Real,13 Ciudad Real,2015,Vivienda unifamiliar,Variación anual,-0.6,"-0,6",unifamiliar,variacion_anual,ipva_variacion_anual_unifamiliar
13,Ciudad Real,13 Ciudad Real,2015,Total,Índice,100.0,"100,000",general,indice,ipva_indice_general
