provincia,anio,trimestre,periodo,numero_transacciones
Burgos,2005,4,2005-T4,213.0
Burgos,2006,1,2006-T1,256.0
Burgos,2006,2,2006-T2,167.0
Burgos,2006,3,2006-T3,177.0
Burgos,2006,4,2006-T4,191.0
Burgos,2007,1,2007-T1,96.0
Burgos,2007,2,2007-T2,191.0
Burgos,2007,3,2007-T3,113.0
Burgos,2007,4,2007-T4,123.0
Burgos,2008,1,2008-T1,112.0
Burgos,2008,2,2008-T2,90.0
Burgos,2008,3,2008-T3,92.0
Burgos,2008,4,2008-T4,100.0
Burgos,2009,1,2009-T1,73.0
Burgos,2009,2,2009-T2,64.0
Burgos,2009,3,2009-T3,76.0
Burgos,2009,4,2009-T4,76.0
Burgos,2010,1,2010-T1,86.0
Burgos,2010,2,2010-T2,63.0
Burgos,2010,3,2010-T3,279.0
Burgos,2010,4,2010-T4,70.0
Burgos,2011,1,2011-T1,56.0
Burgos,2011,2,2011-T2,52.0
Burgos,2011,3,2011-T3,68.0
Burgos,2011,4,2011-T4,76.0
Burgos,2012,1,2012-T1,48.0
Burgos,2012,2,2012-T2,103.0
Burgos,2012,3,2012-T3,61.0
Burgos,2012,4,2012-T4,49.0
Burgos,2013,1,2013-T1,44.0
Burgos,2013,2,2013-T2,192.0
Burgos,2013,3,2013-T3,51.0
Burgos,2013,4,2013-T4,81.0
Burgos,2014,1,2014-T1,46.0
Burgos,2014,2,2014-T2,49.0
Burgos,2014,3,2014-T3,148.0
Burgos,2014,4,2014-T4,64.0
Burgos,2015,1,2015-T1,51.0
Burgos,2015,2,2015-T2,55.0
Burgos,2015,3,2015-T3,89.0
Burgos,2015,4,2015-T4,102.0
Burgos,2016,1,2016-T1,55.0
Burgos,2016,2,2016-T2,47.0
Burgos,2016,3,2016-T3,47.0
Burgos,2016,4,2016-T4,61.0
Burgos,2017,1,2017-T1,29.0
Burgos,2017,2,2017-T2,63.0
Burgos,2017,3,2017-T3,105.0
Burgos,2017,4,2017-T4,85.0
Burgos,2018,1,2018-T1,62.0
Burgos,2018,2,2018-T2,174.0
Burgos,2018,3,2018-T3,66.0
Burgos,2018,4,2018-T4,77.0
Burgos,2019,1,2019-T1,51.0
Burgos,2019,2,2019-T2,33.0
Burgos,2019,3,2019-T3,98.0
Burgos,2019,4,2019-T4,60.0
Burgos,2020,1,2020-T1,26.0
Burgos,2020,2,2020-T2,22.0
Burgos,2020,3,2020-T3,61.0
Burgos,2020,4,2020-T4,91.0
Burgos,2021,1,2021-T1,64.0
Burgos,2021,2,2021-T2,177.0
Burgos,2021,3,2021-T3,131.0
Burgos,2021,4,2021-T4,92.0
Burgos,2022,1,2022-T1,83.0
Burgos,2022,2,2022-T2,92.0
Burgos,2022,3,2022-T3,97.0
Burgos,2022,4,2022-T4,104.0
Burgos,2023,1,2023-T1,69.0
Burgos,2023,2,2023-T2,86.0
Burgos,2023,3,2023-T3,102.0
Burgos,2023,4,2023-T4,129.0
Burgos,2024,1,2024-T1,71.0
Burgos,2024,2,2024-T2,60.0
Burgos,2024,3,2024-T3,69.0
Burgos,2024,4,2024-T4,72.0
Burgos,2025,1,2025-T1,86.0
Burgos,2025,2,2025-T2,71.0
Burgos,2025,3,2025-T3,113.0
Burgos,2025,4,2025-T4,137.0
Burgos,2026,1,2026-T1,178.0
Castellón/Castelló,2004,1,2004-T1,219.0
Castellón/Castelló,2004,2,2004-T2,239.0
Castellón/Castelló,2004,3,2004-T3,210.0
Castellón/Castelló,2004,4,2004-T4,277.0
Castellón/Castelló,2005,1,2005-T1,164.0
Castellón/Castelló,2005,2,2005-T2,255.0
Castellón/Castelló,2005,3,2005-T3,185.0
Castellón/Castelló,2005,4,2005-T4,212.0
Castellón/Castelló,2006,1,2006-T1,288.0
Castellón/Castelló,2006,2,2006-T2,213.0
Castellón/Castelló,2006,3,2006-T3,182.0
Castellón/Castelló,2006,4,2006-T4,192.0
Castellón/Castelló,2007,1,2007-T1,143.0
Castellón/Castelló,2007,2,2007-T2,130.0
Castellón/Castelló,2007,3,2007-T3,94.0
Castellón/Castelló,2007,4,2007-T4,80.0
Castellón/Castelló,2008,1,2008-T1,75.0
Castellón/Castelló,2008,2,2008-T2,67.0
Castellón/Castelló,2008,3,2008-T3,84.0
Castellón/Castelló,2008,4,2008-T4,65.0
Castellón/Castelló,2009,1,2009-T1,75.0
Castellón/Castelló,2009,2,2009-T2,67.0
Castellón/Castelló,2009,3,2009-T3,113.0
Castellón/Castelló,2009,4,2009-T4,82.0
Castellón/Castelló,2010,1,2010-T1,67.0
Castellón/Castelló,2010,2,2010-T2,69.0
Castellón/Castelló,2010,3,2010-T3,54.0
Castellón/Castelló,2010,4,2010-T4,52.0
Castellón/Castelló,2011,1,2011-T1,115.0
Castellón/Castelló,2011,2,2011-T2,41.0
Castellón/Castelló,2011,3,2011-T3,44.0
Castellón/Castelló,2011,4,2011-T4,40.0
Castellón/Castelló,2012,1,2012-T1,41.0
Castellón/Castelló,2012,2,2012-T2,31.0
Castellón/Castelló,2012,3,2012-T3,50.0
