provincia,anio,trimestre,periodo,numero_transacciones
Barcelona,2017,4,2017-T4,516.0
Barcelona,2018,1,2018-T1,506.0
Barcelona,2018,2,2018-T2,559.0
Barcelona,2018,3,2018-T3,434.0
Barcelona,2018,4,2018-T4,539.0
Barcelona,2019,1,2019-T1,376.0
Barcelona,2019,2,2019-T2,346.0
Barcelona,2019,3,2019-T3,418.0
Barcelona,2019,4,2019-T4,458.0
Barcelona,2020,1,2020-T1,274.0
Barcelona,2020,2,2020-T2,214.0
Barcelona,2020,3,2020-T3,361.0
Barcelona,2020,4,2020-T4,636.0
Barcelona,2021,1,2021-T1,628.0
Barcelona,2021,2,2021-T2,793.0
Barcelona,2021,3,2021-T3,652.0
Barcelona,2021,4,2021-T4,728.0
Barcelona,2022,1,2022-T1,642.0
Barcelona,2022,2,2022-T2,624.0
Barcelona,2022,3,2022-T3,466.0
Barcelona,2022,4,2022-T4,528.0
Barcelona,2023,1,2023-T1,500.0
Barcelona,2023,2,2023-T2,640.0
Barcelona,2023,3,2023-T3,314.0
Barcelona,2023,4,2023-T4,598.0
Barcelona,2024,1,2024-T1,446.0
Barcelona,2024,2,2024-T2,528.0
Barcelona,2024,3,2024-T3,451.0
Barcelona,2024,4,2024-T4,346.0
Barcelona,2025,1,2025-T1,564.0
Barcelona,2025,2,2025-T2,656.0
Barcelona,2025,3,2025-T3,593.0
Barcelona,2025,4,2025-T4,841.0
Barcelona,2026,1,2026-T1,662.0
Burgos,2004,1,2004-T1,213.0
Burgos,2004,2,2004-T2,225.0
Burgos,2004,3,2004-T3,385.0
Burgos,2004,4,2004-T4,301.0
Burgos,2005,1,2005-T1,265.0
Burgos,2005,2,2005-T2,201.0
Burgos,2005,3,2005-T3,238.0
