provincia,anio,trimestre,periodo,precio_suelo_m2
Burgos,2015,4,2015-T4,49.69
Burgos,2016,1,2016-T1,55.47
Burgos,2016,2,2016-T2,43.67
Burgos,2016,3,2016-T3,50.59
Burgos,2016,4,2016-T4,47.99
Burgos,2017,1,2017-T1,52.39
Burgos,2017,2,2017-T2,69.12
Burgos,2017,3,2017-T3,50.7
Burgos,2017,4,2017-T4,59.74
Burgos,2018,1,2018-T1,71.03
Burgos,2018,2,2018-T2,53.31
Burgos,2018,3,2018-T3,58.69
Burgos,2018,4,2018-T4,62.84
Burgos,2019,1,2019-T1,50.29
Burgos,2019,2,2019-T2,81.31
Burgos,2019,3,2019-T3,54.94
Burgos,2019,4,2019-T4,107.63
Burgos,2020,1,2020-T1,90.45
Burgos,2020,2,2020-T2,74.61
Burgos,2020,3,2020-T3,86.47
Burgos,2020,4,2020-T4,51.64
Burgos,2021,1,2021-T1,46.83
Burgos,2021,2,2021-T2,44.79
Burgos,2021,3,2021-T3,41.36
Burgos,2021,4,2021-T4,56.39
Burgos,2022,1,2022-T1,59.56
Burgos,2022,2,2022-T2,64.35
Burgos,2022,3,2022-T3,65.21
Burgos,2022,4,2022-T4,62.58
Burgos,2023,1,2023-T1,73.68
Burgos,2023,2,2023-T2,48.75
Burgos,2023,3,2023-T3,99.42
Burgos,2023,4,2023-T4,94.0
Burgos,2024,1,2024-T1,43.27
Burgos,2024,2,2024-T2,103.92
Burgos,2024,3,2024-T3,72.59
Burgos,2024,4,2024-T4,76.67
Burgos,2025,1,2025-T1,69.16
Burgos,2025,2,2025-T2,55.08
Burgos,2025,3,2025-T3,109.61
Burgos,2025,4,2025-T4,63.65
Burgos,2026,1,2026-T1,93.6
Castellón/Castelló,2004,1,2004-T1,334.1
Castellón/Castelló,2004,2,2004-T2,264.26
Castellón/Castelló,2004,3,2004-T3,261.62
Castellón/Castelló,2004,4,2004-T4,282.35
Castellón/Castelló,2005,1,2005-T1,375.06
Castellón/Castelló,2005,2,2005-T2,415.32
Castellón/Castelló,2005,3,2005-T3,357.31
Castellón/Castelló,2005,4,2005-T4,338.93
Castellón/Castelló,2006,1,2006-T1,257.82
Castellón/Castelló,2006,2,2006-T2,300.83
Castellón/Castelló,2006,3,2006-T3,323.71
Castellón/Castelló,2006,4,2006-T4,352.08
Castellón/Castelló,2007,1,2007-T1,374.28
Castellón/Castelló,2007,2,2007-T2,323.95
Castellón/Castelló,2007,3,2007-T3,345.12
Castellón/Castelló,2007,4,2007-T4,349.2
Castellón/Castelló,2008,1,2008-T1,315.27
Castellón/Castelló,2008,2,2008-T2,305.05
Castellón/Castelló,2008,3,2008-T3,275.3
Castellón/Castelló,2008,4,2008-T4,289.95
Castellón/Castelló,2009,1,2009-T1,263.5
Castellón/Castelló,2009,2,2009-T2,254.0
Castellón/Castelló,2009,3,2009-T3,256.6
Castellón/Castelló,2009,4,2009-T4,322.85
