codigo_provincia,provincia,anio,ipva_indice_general,ipva_indice_colectiva,ipva_indice_unifamiliar,ipva_variacion_anual_general,ipva_variacion_anual_colectiva,ipva_variacion_anual_unifamiliar
32,Ourense,2020,105.863,105.858,105.849,0.6,0.5,0.9
32,Ourense,2021,107.778,107.728,108.224,1.8,1.8,2.2
32,Ourense,2022,109.81,109.874,109.175,1.9,2.0,0.9
32,Ourense,2023,111.577,111.584,111.494,1.6,1.6,2.1
32,Ourense,2024,114.526,114.515,114.608,2.6,2.6,2.8
33,Asturias,2015,100.0,100.0,100.0,-0.3,-0.4,0.2
33,Asturias,2016,101.202,101.191,101.369,1.2,1.2,1.4
33,Asturias,2017,102.187,102.193,102.115,1.0,1.0,0.7
33,Asturias,2018,103.399,103.421,103.093,1.2,1.2,1.0
33,Asturias,2019,105.52,105.617,104.093,2.1,2.1,1.0
33,Asturias,2020,106.446,106.504,105.596,0.9,0.8,1.4
33,Asturias,2021,107.998,108.048,107.262,1.5,1.4,1.6
33,Asturias,2022,109.909,109.972,108.988,1.8,1.8,1.6
33,Asturias,2023,111.921,112.037,110.236,1.8,1.9,1.1
33,Asturias,2024,114.919,115.057,112.926,2.7,2.7,2.4
34,Palencia,2015,100.0,100.0,100.0,-0.1,-0.1,-0.2
34,Palencia,2016,102.001,101.866,103.416,2.0,1.9,3.4
34,Palencia,2017,103.057,102.878,104.915,1.0,1.0,1.4
34,Palencia,2018,104.603,104.452,106.18,1.5,1.5,1.2
34,Palencia,2019,106.451,106.566,105.348,1.8,2.0,-0.8
34,Palencia,2020,107.371,107.464,106.478,0.9,0.8,1.1
34,Palencia,2021,108.46,108.672,106.506,1.0,1.1,0.0
34,Palencia,2022,109.967,110.118,108.572,1.4,1.3,1.9
34,Palencia,2023,111.606,111.801,109.798,1.5,1.5,1.1
34,Palencia,2024,114.323,114.656,111.197,2.4,2.6,1.3
35,"Palmas, Las",2015,100.0,100.0,100.0,0.7,0.7,0.8
35,"Palmas, Las",2016,102.004,101.789,102.658,2.0,1.8,2.7
35,"Palmas, Las",2017,104.351,103.933,105.611,2.3,2.1,2.9
35,"Palmas, Las",2018,107.077,106.652,108.359,2.6,2.6,2.6
35,"Palmas, Las",2019,110.457,110.572,110.053,3.2,3.7,1.6
35,"Palmas, Las",2020,110.376,110.919,108.643,-0.1,0.3,-1.3
35,"Palmas, Las",2021,112.18,112.732,110.413,1.6,1.6,1.6
35,"Palmas, Las",2022,115.058,115.464,113.722,2.6,2.4,3.0
35,"Palmas, Las",2023,117.851,118.243,116.561,2.4,2.4,2.5
35,"Palmas, Las",2024,121.881,122.427,120.106,3.4,3.5,3.0
36,Pontevedra,2015,100.0,100.0,100.0,-0.1,-0.1,0.7
36,Pontevedra,2016,100.964,100.929,101.328,1.0,0.9,1.3
36,Pontevedra,2017,101.984,101.916,102.684,1.0,1.0,1.3
36,Pontevedra,2018,103.258,103.268,103.186,1.2,1.3,0.5
36,Pontevedra,2019,105.793,106.077,102.977,2.5,2.7,-0.2
36,Pontevedra,2020,107.227,107.605,103.496,1.4,1.4,0.5
36,Pontevedra,2021,109.613,110.021,105.628,2.2,2.2,2.1
36,Pontevedra,2022,112.617,113.096,108.021,2.7,2.8,2.3
36,Pontevedra,2023,115.236,115.765,110.205,2.3,2.4,2.0
36,Pontevedra,2024,118.756,119.37,113.029,3.1,3.1,2.6
37,Salamanca,2015,100.0,100.0,100.0,-0.3,-0.3,-0.1
37,Salamanca,2016,101.362,101.36,101.395,1.4,1.4,1.4
37,Salamanca,2017,102.636,102.637,102.624,1.3,1.3,1.2
37,Salamanca,2018,104.296,104.314,103.962,1.6,1.6,1.3
37,Salamanca,2019,105.688,105.822,103.262,1.3,1.4,-0.7
37,Salamanca,2020,106.046,106.202,103.27,0.3,0.4,0.0
37,Salamanca,2021,108.432,108.657,104.598,2.2,2.3,1.3
37,Salamanca,2022,110.477,110.723,106.299,1.9,1.9,1.6
37,Salamanca,2023,112.647,112.909,108.206,2.0,2.0,1.8
37,Salamanca,2024,116.243,116.562,110.88,3.2,3.2,2.5
38,Santa Cruz de Tenerife,2015,100.0,100.0,100.0,0.3,0.3,0.3
38,Santa Cruz de Tenerife,2016,101.953,101.952,101.959,2.0,2.0,2.0
38,Santa Cruz de Tenerife,2017,104.261,104.169,104.818,2.3,2.2,2.8
38,Santa Cruz de Tenerife,2018,107.015,107.152,106.198,2.6,2.9,1.3
38,Santa Cruz de Tenerife,2019,111.072,111.649,107.629,3.8,4.2,1.3
38,Santa Cruz de Tenerife,2020,111.733,112.511,107.137,0.6,0.8,-0.5
38,Santa Cruz de Tenerife,2021,113.95,114.751,109.224,2.0,2.0,1.9
38,Santa Cruz de Tenerife,2022,117.853,118.672,113.017,3.4,3.4,3.5
38,Santa Cruz de Tenerife,2023,121.556,122.575,115.669,3.1,3.3,2.3
38,Santa Cruz de Tenerife,2024,126.553,127.781,119.582,4.1,4.2,3.4
39,Cantabria,2015,100.0,100.0,100.0,-0.5,-0.5,-1.1
39,Cantabria,2016,101.771,101.596,103.341,1.8,1.6,3.3
39,Cantabria,2017,103.032,102.933,103.944,1.2,1.3,0.6
39,Cantabria,2018,104.36,104.254,105.33,1.3,1.3,1.3
39,Cantabria,2019,106.722,106.761,106.465,2.3,2.4,1.1
39,Cantabria,2020,107.702,107.73,107.534,0.9,0.9,1.0
39,Cantabria,2021,109.83,109.893,109.381,2.0,2.0,1.7
39,Cantabria,2022,112.429,112.55,111.494,2.4,2.4,1.9
39,Cantabria,2023,115.126,115.29,113.814,2.4,2.4,2.1
39,Cantabria,2024,118.981,119.249,116.726,3.3,3.4,2.6
40,Segovia,2015,100.0,100.0,100.0,-0.6,-0.5,-1.0
40,Segovia,2016,101.174,100.928,102.344,1.2,0.9,2.3
40,Segovia,2017,101.973,101.913,102.322,0.8,1.0,0.0
40,Segovia,2018,103.114,103.038,103.53,1.1,1.1,1.2
40,Segovia,2019,105.224,105.233,105.26,2.0,2.1,1.7
40,Segovia,2020,106.168,106.2,106.105,0.9,0.9,0.8
40,Segovia,2021,108.508,108.691,107.816,2.2,2.3,1.6
40,Segovia,2022,111.271,111.483,110.462,2.5,2.6,2.5
40,Segovia,2023,113.971,114.307,112.615,2.4,2.5,1.9
40,Segovia,2024,118.038,118.526,116.001,3.6,3.7,3.0
41,Sevilla,2015,100.0,100.0,100.0,0.0,0.0,-0.2
41,Sevilla,2016,101.78,101.745,101.969,1.8,1.7,2.0
41,Sevilla,2017,103.485,103.632,102.742,1.7,1.9,0.8
41,Sevilla,2018,105.736,106.004,104.375,2.2,2.3,1.6
41,Sevilla,2019,109.582,110.205,106.451,3.6,4.0,2.0
41,Sevilla,2020,110.304,110.983,106.906,0.7,0.7,0.4
41,Sevilla,2021,112.159,112.89,108.508,1.7,1.7,1.5
41,Sevilla,2022,115.092,115.972,110.705,2.6,2.7,2.0
41,Sevilla,2023,117.551,118.565,112.474,2.1,2.2,1.6
41,Sevilla,2024,121.504,122.72,115.382,3.4,3.5,2.6
42,Soria,2015,100.0,100.0,100.0,-1.2,-1.6,4.4
42,Soria,2016,101.294,101.667,96.592,1.3,1.7,-3.4
